key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,key5.keys,key5.rt,respT.keys,respT.corr,respT.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ss_Amt,ss_Delay,ll_Amt,ll_Delay
space,0.544,space,0.026,space,0.808,space,0.035,left,0.27,space,0.354,right,0,0.145,0,0,0,1,1,25000,35000,150,002,impaciente,2022-07-08_16h48.54.684,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,
,,,,,,,,,,,,right,0,0.009,0,1,1,0,1,10000,109000,9,002,impaciente,2022-07-08_16h48.54.684,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,
,,,,,,,,,,,,right,0,0.956,0,2,2,2,1,10000,19000,89,002,impaciente,2022-07-08_16h48.54.684,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,002,impaciente,2022-07-08_16h48.54.684,tareaTDv3,2020.2.5,Win32,60,g,7.101,left,0,1.039,0,0,0,53,1,5000,0,104000,90
,,,,,,,,,,,,,,,,,,,,,,,002,impaciente,2022-07-08_16h48.54.684,tareaTDv3,2020.2.5,Win32,60,,,left,0,0.655,0,1,1,27,1,10000,0,61000,150
,,,,,,,,,,,,,,,,,,,,,,,002,impaciente,2022-07-08_16h48.54.684,tareaTDv3,2020.2.5,Win32,60,,,left,0,0.604,0,2,2,46,1,5000,0,36000,61
,,,,,,,,,,,,,,,,,,,,,,,002,impaciente,2022-07-08_16h48.54.684,tareaTDv3,2020.2.5,Win32,60,,,left,0,0.28,0,3,3,16,1,10000,0,39000,59
,,,,,,,,,,,,,,,,,,,,,,,002,impaciente,2022-07-08_16h48.54.684,tareaTDv3,2020.2.5,Win32,60,,,right,0,0.233,0,4,4,55,1,5000,0,14000,149
,,,,,,,,,,,,,,,,,,,,,,,002,impaciente,2022-07-08_16h48.54.684,tareaTDv3,2020.2.5,Win32,60,,,right,0,0.104,0,5,5,40,1,5000,0,14000,31
,,,,,,,,,,,,,,,,,,,,,,,002,impaciente,2022-07-08_16h48.54.684,tareaTDv3,2020.2.5,Win32,60,,,left,0,0.088,0,6,6,74,1,25000,0,150000,29
,,,,,,,,,,,,,,,,,,,,,,,002,impaciente,2022-07-08_16h48.54.684,tareaTDv3,2020.2.5,Win32,60,,,right,0,0.011,0,7,7,51,1,5000,0,35000,89
,,,,,,,,,,,,,,,,,,,,,,,002,impaciente,2022-07-08_16h48.54.684,tareaTDv3,2020.2.5,Win32,60,,,right,0,1.316,0,8,8,78,1,25000,0,125000,59
,,,,,,,,,,,,,,,,,,,,,,,002,impaciente,2022-07-08_16h48.54.684,tareaTDv3,2020.2.5,Win32,60,,,left,0,0.378,0,9,9,44,1,5000,0,150000,30
,,,,,,,,,,,,,,,,,,,,,,,002,impaciente,2022-07-08_16h48.54.684,tareaTDv3,2020.2.5,Win32,60,,,left,0,0.088,0,10,10,83,1,25000,0,125000,89
,,,,,,,,,,,,,,,,,,,,,,,002,impaciente,2022-07-08_16h48.54.684,tareaTDv3,2020.2.5,Win32,60,,,left,0,0.078,0,11,11,11,1,10000,0,39000,29
,,,,,,,,,,,,,,,,,,,,,,,002,impaciente,2022-07-08_16h48.54.684,tareaTDv3,2020.2.5,Win32,60,,,left,0,0.01,0,12,12,81,1,25000,0,55000,90
,,,,,,,,,,,,,,,,,,,,,,,002,impaciente,2022-07-08_16h48.54.684,tareaTDv3,2020.2.5,Win32,60,,,right,0,0.606,0,13,13,10,1,10000,0,21000,31
,,,,,,,,,,,,,,,,,,,,,,,002,impaciente,2022-07-08_16h48.54.684,tareaTDv3,2020.2.5,Win32,60,,,right,0,0.374,0,14,14,68,1,25000,0,125000,9
,,,,,,,,,,,,,,,,,,,,,,,002,impaciente,2022-07-08_16h48.54.684,tareaTDv3,2020.2.5,Win32,60,,,left,0,0.578,0,15,15,88,1,25000,0,125000,149
,,,,,,,,,,,,,,,,,,,,,,,002,impaciente,2022-07-08_16h48.54.684,tareaTDv3,2020.2.5,Win32,60,,,right,0,0.17,0,16,16,3,1,10000,0,109000,5
,,,,,,,,,,,,,,,,,,,,,,,002,impaciente,2022-07-08_16h48.54.684,tareaTDv3,2020.2.5,Win32,60,,,right,0,0.71,0,17,17,59,1,5000,0,151000,150
,,,,,,,,,,,,,,,,,,,,,,,002,impaciente,2022-07-08_16h48.54.684,tareaTDv3,2020.2.5,Win32,60,,,right,0,0.239,0,18,18,4,1,10000,0,150000,5
,,,,,,,,,,,,,,,,,,,,,,,002,impaciente,2022-07-08_16h48.54.684,tareaTDv3,2020.2.5,Win32,60,,,left,0,0.704,0,19,19,19,1,10000,0,149000,61
,,,,,,,,,,,,,,,,,,,,,,,002,impaciente,2022-07-08_16h48.54.684,tareaTDv3,2020.2.5,Win32,60,,,left,0,0.147,0,20,20,6,1,10000,0,40000,10
,,,,,,,,,,,,,,,,,,,,,,,002,impaciente,2022-07-08_16h48.54.684,tareaTDv3,2020.2.5,Win32,60,,,right,0,0.144,0,21,21,36,1,5000,0,36000,9
,,,,,,,,,,,,,,,,,,,,,,,002,impaciente,2022-07-08_16h48.54.684,tareaTDv3,2020.2.5,Win32,60,,,left,0,0.361,0,22,22,85,1,25000,0,35000,150
,,,,,,,,,,,,,,,,,,,,,,,002,impaciente,2022-07-08_16h48.54.684,tareaTDv3,2020.2.5,Win32,60,,,right,0,0.046,0,23,23,28,1,10000,0,109000,149
,,,,,,,,,,,,,,,,,,,,,,,002,impaciente,2022-07-08_16h48.54.684,tareaTDv3,2020.2.5,Win32,60,,,right,0,0.293,0,24,24,39,1,5000,0,149000,10
,,,,,,,,,,,,,,,,,,,,,,,002,impaciente,2022-07-08_16h48.54.684,tareaTDv3,2020.2.5,Win32,60,,,left,0,0.078,0,25,25,58,1,5000,0,106000,152
,,,,,,,,,,,,,,,,,,,,,,,002,impaciente,2022-07-08_16h48.54.684,tareaTDv3,2020.2.5,Win32,60,,,left,0,0.144,0,26,26,2,1,10000,0,61000,4
,,,,,,,,,,,,,,,,,,,,,,,002,impaciente,2022-07-08_16h48.54.684,tareaTDv3,2020.2.5,Win32,60,,,left,0,0.674,0,27,27,77,1,25000,0,75000,59
,,,,,,,,,,,,,,,,,,,,,,,002,impaciente,2022-07-08_16h48.54.684,tareaTDv3,2020.2.5,Win32,60,,,left,0,0.488,0,28,28,69,1,25000,0,150000,9
,,,,,,,,,,,,,,,,,,,,,,,002,impaciente,2022-07-08_16h48.54.684,tareaTDv3,2020.2.5,Win32,60,,,left,0,0.256,0,29,29,43,1,5000,0,106000,29
,,,,,,,,,,,,,,,,,,,,,,,002,impaciente,2022-07-08_16h48.54.684,tareaTDv3,2020.2.5,Win32,60,,,left,0,0.414,0,30,30,34,1,5000,0,151000,4
,,,,,,,,,,,,,,,,,,,,,,,002,impaciente,2022-07-08_16h48.54.684,tareaTDv3,2020.2.5,Win32,60,,,left,0,0.63,0,31,31,87,1,25000,0,75000,151
,,,,,,,,,,,,,,,,,,,,,,,002,impaciente,2022-07-08_16h48.54.684,tareaTDv3,2020.2.5,Win32,60,,,left,0,0.584,0,32,32,9,1,10000,0,151000,11
