key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,key5.keys,key5.rt,respT.keys,respT.corr,respT.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ss_Amt,ss_Delay,ll_Amt,ll_Delay
space,5.337,space,0.428,space,0.328,space,1.209,left,0.651,space,2.383,left,1,0.053,0,0,0,0,1,10000,109000,9,2,salon,2022-07-08_10h29.12.042,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,
,,,,,,,,,,,,right,1,0.104,0,1,1,1,1,25000,35000,150,2,salon,2022-07-08_10h29.12.042,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,
,,,,,,,,,,,,left,1,0.042,0,2,2,2,1,10000,19000,89,2,salon,2022-07-08_10h29.12.042,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,2,salon,2022-07-08_10h29.12.042,tareaTDv3,2020.2.5,Win32,60,g,1.626,right,1,1.233,0,0,0,35,1,5000,0,15000,11
,,,,,,,,,,,,,,,,,,,,,,,2,salon,2022-07-08_10h29.12.042,tareaTDv3,2020.2.5,Win32,60,,,left,1,0.092,0,1,1,31,1,5000,0,35000,6
,,,,,,,,,,,,,,,,,,,,,,,2,salon,2022-07-08_10h29.12.042,tareaTDv3,2020.2.5,Win32,60,,,right,1,0.403,0,2,2,88,1,25000,0,125000,149
,,,,,,,,,,,,,,,,,,,,,,,2,salon,2022-07-08_10h29.12.042,tareaTDv3,2020.2.5,Win32,60,,,left,1,0.837,0,3,3,76,1,25000,0,55000,60
,,,,,,,,,,,,,,,,,,,,,,,2,salon,2022-07-08_10h29.12.042,tareaTDv3,2020.2.5,Win32,60,,,right,1,0.201,0,4,4,19,1,10000,0,149000,61
,,,,,,,,,,,,,,,,,,,,,,,2,salon,2022-07-08_10h29.12.042,tareaTDv3,2020.2.5,Win32,60,,,right,1,0.347,0,5,5,22,1,10000,0,61000,89
,,,,,,,,,,,,,,,,,,,,,,,2,salon,2022-07-08_10h29.12.042,tareaTDv3,2020.2.5,Win32,60,,,right,1,1.226,0,6,6,55,1,5000,0,14000,149
