key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,ssAmount,llAmount,llDelay,ssAmount_text,llAmount_text,llDelay_text,session,participant,date,expName,psychopyVersion,OS,frameRate,key5.keys,key5.rt,respT.keys,respT.corr,respT.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ss_Amt,ss_Delay,ll_Amt,ll_Delay,ss_Amt_text,ss_Delay_text,ll_Amt_text,ll_Delay_text,key_resp_4.keys,key_resp_4.rt
space,1.425,space,0.515,space,0.367,space,0.329,left,2.007,space,0.21,left,1,0.628,0,0,0,1,1,25000,35000,150,"$25,000 ","$35,000 ",150 días,1,,2022-07-09_06h46.43.116,tareaTDv3,2022.1.3,Win32,59.95203837,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,right,1,1.821,0,1,1,2,1,10000,19000,89,"$10,000 ","$19,000 ",89 días,1,,2022-07-09_06h46.43.116,tareaTDv3,2022.1.3,Win32,59.95203837,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,left,1,0.169,0,2,2,0,1,10000,109000,9,"$10,000 ","$109,000 ",9 días,1,,2022-07-09_06h46.43.116,tareaTDv3,2022.1.3,Win32,59.95203837,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2022-07-09_06h46.43.116,tareaTDv3,2022.1.3,Win32,59.95203837,g,1.799,left,1,1.622,0,0,0,34,1,5000,0,151000,4,"$5,000 ",0 días,"$151,000 ",4 días,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2022-07-09_06h46.43.116,tareaTDv3,2022.1.3,Win32,59.95203837,,,right,0,1.181,0,1,1,9,1,10000,0,151000,11,"$10,000 ",0 días,"$151,000 ",11 días,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2022-07-09_06h46.43.116,tareaTDv3,2022.1.3,Win32,59.95203837,,,left,1,0.319,0,2,2,29,1,10000,0,151000,151,"$10,000 ",0 días,"$151,000 ",151 días,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2022-07-09_06h46.43.116,tareaTDv3,2022.1.3,Win32,59.95203837,,,right,0,0.414,0,3,3,21,1,10000,0,40000,91,"$10,000 ",0 días,"$40,000 ",91 días,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2022-07-09_06h46.43.116,tareaTDv3,2022.1.3,Win32,59.95203837,,,left,1,0.524,0,4,4,11,1,10000,0,39000,29,"$10,000 ",0 días,"$39,000 ",29 días,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2022-07-09_06h46.43.116,tareaTDv3,2022.1.3,Win32,59.95203837,,,right,0,0.307,0,5,5,2,1,10000,0,61000,4,"$10,000 ",0 días,"$61,000 ",4 días,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2022-07-09_06h46.43.116,tareaTDv3,2022.1.3,Win32,59.95203837,,,left,1,0.197,0,6,6,8,1,10000,0,111000,10,"$10,000 ",0 días,"$111,000 ",10 días,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2022-07-09_06h46.43.116,tareaTDv3,2022.1.3,Win32,59.95203837,,,right,0,0.222,0,7,7,57,1,5000,0,55000,151,"$5,000 ",0 días,"$55,000 ",151 días,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2022-07-09_06h46.43.116,tareaTDv3,2022.1.3,Win32,59.95203837,,,left,0,0.218,0,8,8,80,1,25000,0,35000,90,"$25,000 ",0 días,"$35,000 ",90 días,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2022-07-09_06h46.43.116,tareaTDv3,2022.1.3,Win32,59.95203837,,,right,1,0.03,0,9,9,39,1,5000,0,149000,10,"$5,000 ",0 días,"$149,000 ",10 días,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2022-07-09_06h46.43.116,tareaTDv3,2022.1.3,Win32,59.95203837,,,left,1,1.1,0,10,10,55,1,5000,0,14000,149,"$5,000 ",0 días,"$14,000 ",149 días,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2022-07-09_06h46.43.116,tareaTDv3,2022.1.3,Win32,59.95203837,,,right,1,0.157,0,11,11,69,1,25000,0,150000,9,"$25,000 ",0 días,"$150,000 ",9 días,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2022-07-09_06h46.43.116,tareaTDv3,2022.1.3,Win32,59.95203837,,,left,1,0.102,0,12,12,24,1,10000,0,149000,89,"$10,000 ",0 días,"$149,000 ",89 días,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2022-07-09_06h46.43.116,tareaTDv3,2022.1.3,Win32,59.95203837,,,right,1,0.075,0,13,13,63,1,25000,0,125000,4,"$25,000 ",0 días,"$125,000 ",4 días,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2022-07-09_06h46.43.116,tareaTDv3,2022.1.3,Win32,59.95203837,,,left,0,0.652,0,14,14,37,1,5000,0,56000,9,"$5,000 ",0 días,"$56,000 ",9 días,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2022-07-09_06h46.43.116,tareaTDv3,2022.1.3,Win32,59.95203837,,,right,1,0.018,0,15,15,89,1,25000,0,150000,150,"$25,000 ",0 días,"$150,000 ",150 días,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2022-07-09_06h46.43.116,tareaTDv3,2022.1.3,Win32,59.95203837,,,left,1,1.187,0,16,16,87,1,25000,0,75000,151,"$25,000 ",0 días,"$75,000 ",151 días,,
