,category,bike_friendly,n_bikes,n_other,block
0,Residential,Yes,16.0,58.0,0
1,Residential,Yes,9.0,90.0,1
2,Residential,Yes,10.0,48.0,2
3,Residential,Yes,13.0,57.0,3
4,Residential,Yes,19.0,103.0,4
5,Residential,Yes,20.0,57.0,5
6,Residential,Yes,18.0,86.0,6
7,Residential,Yes,17.0,112.0,7
8,Residential,Yes,35.0,273.0,8
9,Residential,Yes,55.0,64.0,9
10,Residential,No,12.0,113.0,0
11,Residential,No,1.0,18.0,1
12,Residential,No,2.0,14.0,2
13,Residential,No,4.0,44.0,3
14,Residential,No,9.0,208.0,4
15,Residential,No,7.0,67.0,5
16,Residential,No,9.0,29.0,6
17,Residential,No,8.0,154.0,7
18,Residential,No,,,8
19,Residential,No,,,9
20,Fairly busy,Yes,8.0,29.0,0
21,Fairly busy,Yes,35.0,415.0,1
22,Fairly busy,Yes,31.0,425.0,2
23,Fairly busy,Yes,19.0,42.0,3
24,Fairly busy,Yes,38.0,180.0,4
25,Fairly busy,Yes,47.0,675.0,5
26,Fairly busy,Yes,44.0,620.0,6
27,Fairly busy,Yes,44.0,437.0,7
28,Fairly busy,Yes,29.0,47.0,8
29,Fairly busy,Yes,18.0,462.0,9
30,Fairly busy,No,10.0,557.0,0
31,Fairly busy,No,43.0,1258.0,1
32,Fairly busy,No,5.0,499.0,2
33,Fairly busy,No,14.0,601.0,3
34,Fairly busy,No,58.0,1163.0,4
35,Fairly busy,No,15.0,700.0,5
36,Fairly busy,No,0.0,90.0,6
37,Fairly busy,No,47.0,1093.0,7
38,Fairly busy,No,51.0,1459.0,8
39,Fairly busy,No,32.0,1086.0,9
40,Busy,Yes,60.0,1545.0,0
41,Busy,Yes,51.0,1499.0,1
42,Busy,Yes,58.0,1598.0,2
43,Busy,Yes,59.0,503.0,3
44,Busy,Yes,53.0,407.0,4
45,Busy,Yes,68.0,1494.0,5
46,Busy,Yes,68.0,1558.0,6
47,Busy,Yes,60.0,1706.0,7
48,Busy,Yes,71.0,476.0,8
49,Busy,Yes,63.0,752.0,9
50,Busy,No,8.0,1248.0,0
51,Busy,No,9.0,1246.0,1
52,Busy,No,6.0,1596.0,2
53,Busy,No,9.0,1765.0,3
54,Busy,No,19.0,1290.0,4
55,Busy,No,61.0,2498.0,5
56,Busy,No,31.0,2346.0,6
57,Busy,No,75.0,3101.0,7
58,Busy,No,14.0,1918.0,8
59,Busy,No,25.0,2318.0,9
