,study,subject,age,gender,trial,time_elapsed,pump_value,n_pumps,limit,outcome,outcome_ec,outcome_rating,diff_pumps_limit,information_outcome,information_sought,information_received_ec,emotion_change_rating,next_trial_n_pumps,next_trial_bank,next_trial_points
1,E5 time,1,25,male,0,283571,2,9,8,bust,-1,-72,-1,no,0,-1,5,2,1,88
2,E5 time,1,25,male,1,310733,44,2,8,bank,1,102,6,no,0,-1,3,6,1,144
3,E5 time,1,25,male,2,342266,24,6,9,bank,1,115,3,no,0,-1,2,4,1,80
4,E5 time,1,25,male,3,366673,20,4,8,bank,1,109,4,no,0,-1,4,2,1,156
5,E5 time,1,25,male,4,390911,78,2,8,bank,1,127,6,no,0,-1,7,3,0,0
6,E5 time,1,25,male,5,412183,41,3,2,bust,-1,-110,-1,no,0,-1,2,7,1,119
7,E5 time,1,25,male,6,439730,17,7,7,bank,1,113,0,no,0,-1,3,3,1,117
8,E5 time,1,25,male,7,463048,39,3,6,bank,1,85,3,yes,1,1,-48,2,1,96
9,E5 time,1,25,male,8,503330,48,2,10,bank,1,100,8,no,0,-1,3,2,1,168
10,E5 time,1,25,male,9,525448,84,2,10,bank,1,95,8,yes,1,1,-141,3,0,0
11,E5 time,1,25,male,10,557463,98,3,1,bust,-1,-135,-2,no,0,-1,-130,2,1,198
12,E5 time,1,25,male,11,580387,99,2,5,bank,1,86,3,yes,1,1,-47,4,1,332
13,E5 time,1,25,male,12,610416,83,4,5,bank,1,172,1,yes,1,1,-9,5,1,330
14,E5 time,1,25,male,13,645306,66,5,7,bank,1,92,2,yes,1,1,-23,6,0,0
15,E5 time,1,25,male,14,677883,40,6,1,bust,-1,-105,-5,no,0,-1,-8,3,1,285
16,E5 time,1,25,male,15,703831,95,3,11,bank,1,101,8,yes,1,1,-136,5,1,430
17,E5 time,1,25,male,16,732382,86,5,9,bank,1,145,4,no,0,-1,19,7,1,252
18,E5 time,1,25,male,17,758368,36,7,12,bank,1,109,5,no,0,-1,22,5,1,255
19,E5 time,1,25,male,18,784695,51,5,8,bank,1,98,3,no,0,-1,8,12,0,0
20,E5 time,1,25,male,19,823957,10,12,6,bust,-1,-127,-6,yes,1,1,-92,4,0,0
21,E5 time,1,25,male,20,854855,83,4,1,bust,-1,-145,-3,no,0,-1,-77,4,1,372
22,E5 time,1,25,male,21,881289,93,4,11,bank,1,97,7,yes,1,1,-84,6,1,396
23,E5 time,1,25,male,22,910638,66,6,12,bank,1,117,6,no,0,-1,119,10,1,80
24,E5 time,1,25,male,23,937486,8,10,10,bank,1,128,0,no,0,-1,30,5,1,185
25,E5 time,1,25,male,24,960885,37,5,5,bank,1,97,0,no,0,-1,43,8,1,136
26,E5 time,1,25,male,25,984999,17,8,11,bank,1,101,3,no,0,-1,7,4,1,120
27,E5 time,1,25,male,26,1006111,30,4,10,bank,1,95,6,no,0,-1,15,6,1,486
28,E5 time,1,25,male,27,1028446,81,6,12,bank,1,152,6,no,0,-1,98,5,0,0
29,E5 time,1,25,male,28,1049740,26,5,2,bust,-1,-125,-3,no,0,-1,-40,5,1,220
30,E5 time,1,25,male,29,1071452,44,5,11,bank,1,113,6,no,0,-1,46,5,0,0
31,E5 time,1,25,male,30,1092663,63,5,3,bust,-1,-99,-2,no,0,-1,-58,7,0,0
32,E5 time,1,25,male,31,1119068,51,7,4,bust,-1,-109,-3,no,0,-1,-85,5,1,125
33,E5 time,1,25,male,32,1140125,25,5,7,bank,1,85,2,no,0,-1,52,6,0,0
34,E5 time,1,25,male,33,1161592,28,6,1,bust,-1,-110,-5,no,0,-1,-63,6,1,366
35,E5 time,1,25,male,34,1184480,61,6,10,bank,1,131,4,no,0,-1,102,5,1,5
36,E5 time,1,25,male,35,1209099,1,5,9,bank,1,6,4,no,0,-1,3,8,0,0
37,E5 time,1,25,male,36,1230841,67,8,2,bust,-1,-131,-6,no,0,-1,-42,6,1,114
38,E5 time,1,25,male,37,1254058,19,6,11,bank,1,62,5,no,0,-1,28,4,1,88
39,E5 time,1,25,male,38,1275199,22,4,11,bank,1,36,7,no,0,-1,26,10,0,0
40,E5 time,1,25,male,39,1301723,93,10,7,bust,-1,-88,-3,yes,1,1,-51,7,0,0
41,E5 time,1,25,male,40,1336044,9,7,0,bust,-1,-127,-7,no,0,-1,-36,6,0,0
42,E5 time,1,25,male,41,1360816,30,6,1,bust,-1,-141,-5,no,0,-1,-150,10,0,0
43,E5 time,1,25,male,42,1389087,88,10,8,bust,-1,-199,-2,yes,1,1,-200,5,1,15
44,E5 time,1,25,male,43,1420149,3,5,8,bank,1,23,3,no,0,-1,11,7,0,0
45,E5 time,1,25,male,44,1447762,51,7,0,bust,-1,-148,-7,no,0,-1,-99,5,1,50
46,E5 time,1,25,male,45,1468104,10,5,10,bank,1,26,5,no,0,-1,14,10,0,0
47,E5 time,1,25,male,46,1494816,97,10,6,bust,-1,-147,-4,no,0,-1,-159,6,1,36
48,E5 time,1,25,male,47,1517274,6,6,6,bank,1,17,0,no,0,-1,8,8,0,0
49,E5 time,1,25,male,48,1541736,61,8,6,bust,-1,-135,-2,no,0,-1,-106,6,1,138
