trial_type,time_elapsed,internal_node_id,bonus,subject,practice,trial,n_pumps,limit,outcome,value,information_seeking,emo_rating_1,winnings,emo_rating_2,stimulus,age,gender,final_outcome,final_fb,emo_diff,missed
balloon-inflate,365490,0.0-7.0-2.0,0.8,1,FALSE,10,4,10,bank,20,FALSE,200,0.8,200,NA,21,male,bank,FALSE,0,6
balloon-inflate,280175,0.0-7.0-2.0,1.4,2,FALSE,10,7,12,bank,20,TRUE,200,1.4,26,NA,20,female,bank,TRUE,-174,5
balloon-inflate,262512,0.0-7.0-2.0,0,3,FALSE,10,8,0,bust,20,FALSE,-200,0,NA,NA,38,female,bust,FALSE,NA,-8
balloon-inflate,385186,0.0-7.0-2.0,1.4,4,FALSE,10,7,10,bank,20,TRUE,200,1.4,184,NA,35,male,bank,TRUE,-16,3
balloon-inflate,192046,0.0-7.0-2.0,0.8,5,FALSE,10,4,6,bank,20,TRUE,200,0.8,200,NA,21,male,bank,TRUE,0,2
balloon-inflate,301674,0.0-7.0-2.0,0.4,6,FALSE,10,2,3,bank,20,FALSE,53,0.4,19,NA,37,female,bank,FALSE,-34,1
balloon-inflate,214521,0.0-7.0-2.0,1.4,7,FALSE,10,7,9,bank,20,TRUE,86,1.4,143,NA,21,male,bank,TRUE,57,2
balloon-inflate,353784,0.0-7.0-2.0,0,8,FALSE,10,3,2,bust,20,FALSE,-58,0,NA,NA,24,female,bust,FALSE,NA,-1
balloon-inflate,362977,0.0-7.0-2.0,1.2,9,FALSE,10,6,7,bank,20,FALSE,200,1.2,200,NA,24,female,bank,FALSE,0,1
balloon-inflate,224391,0.0-7.0-2.0,0,10,FALSE,10,6,2,bust,20,FALSE,-200,0,NA,NA,34,male,bust,FALSE,NA,-4
balloon-inflate,220712,0.0-7.0-2.0,0.8,11,FALSE,10,4,8,bank,20,TRUE,71,0.8,-108,NA,31,female,bank,TRUE,-179,4
balloon-inflate,230322,0.0-7.0-2.0,0.8,12,FALSE,10,4,5,bank,20,TRUE,140,0.8,200,NA,23,male,bank,TRUE,60,1
