key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,img_address,L_reward_1,L_prob_1,L_reward_2,L_prob_2,R_reward_1,R_prob_1,R_reward_2,R_prob_2,participant,session,date,expName,psychopyVersion,OS,frameRate,block_loop.thisRepN,block_loop.thisTrialN,block_loop.thisN,block_loop.thisIndex,block_loop.ran,block_address,cond_spanish
space,9.4581,space,10.3125,left,31.1616,0,0,0,17,1,img/GP_137.png,96,0.08,-73,0.92,16,0.11,-48,0.89,la mosca,001,2022-11-11_19h16.20.962,CPT,2021.1.4,Win32,60.03842459,,,,,,,
,,,,left,108.0822,0,1,1,0,1,img/GP_120.png,27,0.15,-55,0.85,73,0.02,-88,0.98,la mosca,001,2022-11-11_19h16.20.962,CPT,2021.1.4,Win32,60.03842459,,,,,,,
,,,,left,37.2526,0,2,2,10,1,img/GP_130.png,82,0.14,-26,0.86,31,0.4,-39,0.6,la mosca,001,2022-11-11_19h16.20.962,CPT,2021.1.4,Win32,60.03842459,,,,,,,
,,,,right,16.9861,0,3,3,14,1,img/GP_134.png,25,0.93,-7,0.07,48,0.87,-10,0.13,la mosca,001,2022-11-11_19h16.20.962,CPT,2021.1.4,Win32,60.03842459,,,,,,,
,,,,left,8.732,0,4,4,19,1,img/GP_139.png,36,0.76,-25,0.24,67,0.52,-28,0.48,la mosca,001,2022-11-11_19h16.20.962,CPT,2021.1.4,Win32,60.03842459,,,,,,,
,,,,left,5.6736,0,5,5,18,1,img/GP_138.png,72,0.75,-38,0.25,60,0.45,-8,0.55,la mosca,001,2022-11-11_19h16.20.962,CPT,2021.1.4,Win32,60.03842459,,,,,,,
,,,,left,10.329,0,6,6,1,1,img/GP_121.png,73,0.82,-19,0.18,58,0.94,-54,0.06,la mosca,001,2022-11-11_19h16.20.962,CPT,2021.1.4,Win32,60.03842459,,,,,,,
,,,,left,4.0346,0,7,7,11,1,img/GP_131.png,54,0.94,-82,0.06,38,0.91,-73,0.09,la mosca,001,2022-11-11_19h16.20.962,CPT,2021.1.4,Win32,60.03842459,,,,,,,
,,,,right,15.3673,0,8,8,4,1,img/GP_124.png,58,0.48,-5,0.52,96,0.6,-40,0.4,la mosca,001,2022-11-11_19h16.20.962,CPT,2021.1.4,Win32,60.03842459,,,,,,,
,,,,left,18.14,0,9,9,9,1,img/GP_129.png,79,0.76,-88,0.24,32,0.99,-100,0.01,la mosca,001,2022-11-11_19h16.20.962,CPT,2021.1.4,Win32,60.03842459,,,,,,,
,,,,left,15.9823,0,10,10,5,1,img/GP_125.png,79,0.07,-28,0.93,89,0.37,-81,0.63,la mosca,001,2022-11-11_19h16.20.962,CPT,2021.1.4,Win32,60.03842459,,,,,,,
,,,,left,15.1015,0,11,11,12,1,img/GP_132.png,56,0.05,-56,0.95,29,0.47,-80,0.53,la mosca,001,2022-11-11_19h16.20.962,CPT,2021.1.4,Win32,60.03842459,,,,,,,
,,,,right,8.5015,0,12,12,13,1,img/GP_133.png,52,0.63,-8,0.37,23,0.87,-39,0.13,la mosca,001,2022-11-11_19h16.20.962,CPT,2021.1.4,Win32,60.03842459,,,,,,,
,,,,right,3.0537,0,13,13,6,1,img/GP_126.png,63,0.57,-91,0.43,24,0.73,-83,0.27,la mosca,001,2022-11-11_19h16.20.962,CPT,2021.1.4,Win32,60.03842459,,,,,,,
,,,,right,13.9831,0,14,14,15,1,img/GP_135.png,16,0.19,-42,0.81,27,0.47,-60,0.53,la mosca,001,2022-11-11_19h16.20.962,CPT,2021.1.4,Win32,60.03842459,,,,,,,
,,,,left,5.8947,0,15,15,2,1,img/GP_122.png,0,0,-48,1,87,0.1,-71,0.9,la mosca,001,2022-11-11_19h16.20.962,CPT,2021.1.4,Win32,60.03842459,,,,,,,
,,,,right,8.7431,0,16,16,16,1,img/GP_136.png,9,0.27,-31,0.73,39,0.07,-27,0.93,la mosca,001,2022-11-11_19h16.20.962,CPT,2021.1.4,Win32,60.03842459,,,,,,,
,,,,right,4.7909,0,17,17,8,1,img/GP_128.png,92,0.06,-66,0.94,31,0.03,-49,0.97,la mosca,001,2022-11-11_19h16.20.962,CPT,2021.1.4,Win32,60.03842459,,,,,,,
,,,,left,15.5778,0,18,18,3,1,img/GP_123.png,63,0.57,-47,0.43,14,0.98,-69,0.02,la mosca,001,2022-11-11_19h16.20.962,CPT,2021.1.4,Win32,60.03842459,,,,,,,
,,,,right,9.5056,0,19,19,7,1,img/GP_127.png,40,0.27,-38,0.73,7,0.46,-30,0.54,la mosca,001,2022-11-11_19h16.20.962,CPT,2021.1.4,Win32,60.03842459,,,,,,,
,,,,,,,,,,,,,,,,,,,,la mosca,001,2022-11-11_19h16.20.962,CPT,2021.1.4,Win32,60.03842459,0,0,0,2,1,img_links_mix.csv,Va a empezar turnos con opciones mixtas (perdida y ganancia). Oprima barra espaceadora para continuar
,,space,5.4763,left,19.0119,0,0,0,11,1,img/GP_71.png,-49,0.73,-75,0.27,-2,0.17,-100,0.83,la mosca,001,2022-11-11_19h16.20.962,CPT,2021.1.4,Win32,60.03842459,,,,,,,
,,,,right,9.0897,0,1,1,19,1,img/GP_79.png,-73,0.61,-58,0.39,-83,0.44,-8,0.56,la mosca,001,2022-11-11_19h16.20.962,CPT,2021.1.4,Win32,60.03842459,,,,,,,
,,,,left,9.3539,0,2,2,14,1,img/GP_74.png,-4,0.56,-80,0.44,-46,0.04,-58,0.96,la mosca,001,2022-11-11_19h16.20.962,CPT,2021.1.4,Win32,60.03842459,,,,,,,
,,,,left,14.0626,0,3,3,15,1,img/GP_75.png,-77,0.77,-62,0.23,-94,0.71,-51,0.29,la mosca,001,2022-11-11_19h16.20.962,CPT,2021.1.4,Win32,60.03842459,,,,,,,
