Performance,RT,ProbRatio,NumRatio,DenRatio,AreaCtl,WinSide1,WinSide2,DenSide1,DenSide2,ProbSide1,ProbSide2,sideR,subID
1,1.2024,1,0.2,0.2,1,5,1,20,4,0.25,0.25,1,1
1,0.9653,1,1,1,2,4,4,16,16,0.25,0.25,1,1
1,0.83175,0.8,0.625,0.5,1,5,8,8,16,0.625,0.5,1,1
1,0.72997,0.5,0.27273,0.54545,2,3,11,12,22,0.25,0.5,2,1
1,0.95435,0.66667,0.22222,0.14815,2,9,2,27,4,0.33333,0.5,2,1
1,0.94915,0.5,0.4,0.8,1,2,5,8,10,0.25,0.5,2,1
0,1.0089,0.66667,0.6,0.4,1,5,3,30,12,0.16667,0.25,1,1
1,0.86561,0.8,0.4,0.5,2,2,5,8,16,0.25,0.3125,2,1
1,0.85793,0.8,0.46154,0.57692,1,6,13,15,26,0.4,0.5,2,1
1,0.8907,0.5,0.33333,0.16667,1,3,9,4,24,0.75,0.375,1,1
1,0.73214,0.8,1,0.8,1,6,6,12,15,0.5,0.4,1,1
1,0.83548,1,0.625,0.625,2,10,16,20,32,0.5,0.5,1,1
1,1.1907,0.8,0.4,0.5,1,5,2,16,8,0.3125,0.25,1,1
1,0.92721,0.66667,0.375,0.25,1,3,8,4,16,0.75,0.5,1,1
1,0.68036,0.8,0.66667,0.53333,1,4,6,8,15,0.5,0.4,1,1
0,0.60004,0.8,1,0.8,2,15,15,20,16,0.75,0.9375,1,1
0,0.85145,1,1,1,1,5,5,10,10,0.5,0.5,2,1
1,0.83144,0.5,0.66667,0.33333,1,9,6,24,8,0.375,0.75,2,1
0,0.91217,0.66667,1,0.66667,1,4,4,24,16,0.16667,0.25,1,1
0,0.68668,0.8,0.2,0.25,2,3,15,4,16,0.75,0.9375,1,1
0,1.037,1,0.875,0.875,1,8,7,32,28,0.25,0.25,2,1
1,0.8477,0.8,0.2,0.16,2,1,5,4,25,0.25,0.2,1,1
1,0.6912,0.66667,0.66667,1,2,6,4,8,8,0.75,0.5,1,1
1,0.63886,0.5,0.5,1,2,5,10,20,20,0.25,0.5,2,1
1,0.86949,0.8,0.93333,0.85714,1,15,14,24,28,0.625,0.5,1,1
1,0.75196,0.8,0.33333,0.26667,2,4,12,8,30,0.5,0.4,1,1
1,0.64895,0.5,0.25,0.125,1,12,3,32,4,0.375,0.75,2,1
1,0.90801,0.66667,0.46667,0.7,2,15,7,30,21,0.5,0.33333,1,1
1,0.75594,1,0.83333,0.83333,2,6,5,24,20,0.25,0.25,1,1
0,0.74979,0.66667,0.64286,0.42857,1,14,9,28,12,0.5,0.75,1,1
1,0.92731,0.8,1,0.8,2,5,5,16,20,0.3125,0.25,1,1
0,0.70701,1,0.57143,0.57143,2,4,7,16,28,0.25,0.25,2,1
1,0.65198,0.5,0.5,1,1,7,14,28,28,0.25,0.5,2,1
1,0.66605,0.5,0.33333,0.16667,2,3,9,4,24,0.75,0.375,1,1
1,0.79293,0.8,0.45,0.5625,1,20,9,32,18,0.625,0.5,1,1
1,0.70637,0.8,0.625,0.5,1,8,5,20,10,0.4,0.5,2,1
1,0.87083,1,0.85714,0.85714,2,7,6,28,24,0.25,0.25,1,1
1,0.67181,0.8,1,0.8,1,6,6,15,12,0.4,0.5,2,1
1,0.60782,0.8,0.4,0.5,1,8,20,16,32,0.5,0.625,2,1
1,0.6734,1,0.83333,0.83333,1,15,18,20,24,0.75,0.75,1,1
1,0.63824,0.66667,0.5,0.33333,1,6,3,12,4,0.5,0.75,2,1
1,0.65296,0.66667,0.54545,0.36364,2,6,11,8,22,0.75,0.5,1,1
1,0.77195,0.8,0.83333,0.66667,2,6,5,24,16,0.25,0.3125,2,1
1,0.69042,0.5,0.33333,0.16667,1,3,1,24,4,0.125,0.25,2,1
1,0.67782,0.5,0.42857,0.85714,1,9,21,24,28,0.375,0.75,2,1
1,0.80346,0.8,0.4,0.5,2,2,5,8,16,0.25,0.3125,2,1
1,0.68423,1,0.25,0.25,2,3,12,6,24,0.5,0.5,1,1
1,0.63556,0.5,0.66667,0.33333,2,3,2,24,8,0.125,0.25,2,1
1,0.71833,0.66667,0.5,0.33333,2,5,10,10,30,0.5,0.33333,1,1
1,0.76339,0.5,0.15385,0.30769,2,13,2,26,8,0.5,0.25,1,1
1,0.65094,1,0.83333,0.83333,1,15,18,20,24,0.75,0.75,1,1
0,0.66272,0.8,0.6,0.75,2,9,15,12,16,0.75,0.9375,1,1
1,0.79441,0.5,0.30769,0.61538,1,4,13,16,26,0.25,0.5,2,1
1,0.71695,0.66667,0.88889,0.59259,2,9,8,27,16,0.33333,0.5,2,1
1,0.68334,0.5,0.5,1,1,7,14,28,28,0.25,0.5,2,1
1,0.63914,0.5,0.25,0.125,2,8,2,32,4,0.25,0.5,2,1
1,0.71234,0.5,0.35714,0.71429,1,14,5,28,20,0.5,0.25,1,1
1,0.67183,0.8,0.8,1,2,30,24,32,32,0.9375,0.75,1,1
1,0.77757,0.5,0.375,0.75,1,8,3,16,12,0.5,0.25,1,1
1,0.82451,0.8,0.8,1,2,5,4,16,16,0.3125,0.25,1,1
0,0.85692,1,0.875,0.875,1,21,24,28,32,0.75,0.75,2,1
1,0.81085,0.66667,0.5,0.75,1,12,24,24,32,0.5,0.75,2,1
1,0.71258,0.5,0.5,0.25,1,4,2,16,4,0.25,0.5,2,1
1,0.73295,0.66667,0.75,0.5,2,9,12,12,24,0.75,0.5,1,1
1,0.70381,0.66667,0.66667,1,1,12,8,24,24,0.5,0.33333,1,1
0,0.94497,0.8,0.2,0.16,2,5,1,25,4,0.2,0.25,1,1
1,0.90279,0.66667,0.25,0.16667,1,3,12,4,24,0.75,0.5,1,1
0,0.81683,0.66667,0.25,0.16667,2,4,1,24,4,0.16667,0.25,1,1
1,0.8152,0.66667,0.11111,0.16667,2,1,9,4,24,0.25,0.375,2,1
1,0.88549,1,0.66667,0.66667,2,6,9,12,18,0.5,0.5,1,1
1,0.68695,0.8,0.33333,0.41667,2,2,6,5,12,0.4,0.5,2,1
0,0.76483,1,1,1,1,8,8,16,16,0.5,0.5,2,1
1,0.73763,0.8,0.71429,0.57143,2,21,15,28,16,0.75,0.9375,2,1
1,0.74479,0.8,0.8,1,1,24,30,32,32,0.75,0.9375,2,1
1,0.6682,0.66667,0.5625,0.375,1,16,9,32,12,0.5,0.75,2,1
1,0.62237,0.66667,0.375,0.25,2,3,8,4,16,0.75,0.5,1,1
