Name_of_School	Running_Number	Dropout_Rate	Completeness_of_data	Enrollment	Attendance_Rate	Graduation_Rate	Parental_Involvement_Rate	Limited_English_Students	Low_Income_Students	Average_Class_Size_Teacher	Percent_white	percent_black	percent_hispanic	percent_asian	percent_minority	average_composite_ACT_Score	Reading	 Math	Science	 Social_Science	 Writing
Austin	1	394	1	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0
Farragut	2	340	1	1	0	0	1	1	1	0	0	0	1	1	1	0	0	0	0	0	0
Fenger	3	287	1	0	1	1	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0
Crane	4	286	1	0	0	0	0	0	1	0	0	1	0	1	1	0	0	0	0	0	1
Orr	5	263	1	0	0	0	1	1	1	1	0	1	0	0	1	0	0	0	0	0	0
Wells	6	259	1	1	0	0	1	1	1	0	1	0	1	1	0	1	0	1	0	0	0
Bowen	7	255	1	0	0	1	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0
Steinmetz	8	250	1	1	1	1	1	1	0	0	1	0	1	1	0	1	1	1	1	1	1
Englewood	9	248	1	0	0	0	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0
Carver	10	246	1	0	0	0	1	0	0	0	0	1	0	1	1	0	0	0	1	0	0
Robeson	11	235	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0
Schurz	12	234	1	1	0	0	0	1	1	1	1	0	1	1	0	0	1	1	1	1	1
DuSable	13	233	1	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0
Lake_View	14	228	1	0	1	0	0	1	1	0	1	0	1	1	0	1	1	1	1	1	1
Kelvyn_Park	15	227	1	1	0	1	1	1	1	0	1	0	1	1	0	0	0	0	0	0	0
Harper	16	226	1	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0
Corliss	17	221	1	1	1	0	0	0	0	0	0	1	0	0	1	0	1	1	1	1	1
Gage_Park	18	217	1	0	1	0	0	1	1	1	1	0	1	1	0	1	1	1	0	0	1
Juarez	19	216	1	1	1	0	0	1	1	1	1	0	1	1	0	1	1	1	1	1	1
Foreman	20	215	1	1	0	1	0	1	1	1	1	0	1	1	0	1	1	1	1	1	0
Roosevelt	21	213	1	1	1	1	1	1	0	0	1	0	1	1	0	1	1	1	1	1	0
Philipps_Academy	22	209	1	0	0	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0
Harlan	23	195	1	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0
Senn_Metropolitan	24	193	1	1	0	0	1	1	1	0	1	0	1	1	0	0	0	1	0	1	0
Marshall_Metropolitan	25	191	1	1	0	0	1	0	0	1	0	1	0	0	1	0	0	0	0	0	0
Amundsen	26	186	1	1	1	1	1	1	1	0	1	0	1	1	0	1	1	1	1	1	1
Clemente	27	185	1	1	0	0	0	1	1	1	1	0	1	1	0	0	0	0	0	0	0
Calument	28	168	1	0	0	1	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0
Hirsch_Metropolitan	29	165	1	0	0	1	1	0	0	1	0	1	0	0	1	1	1	1	1	1	0
Chicago_Vocational	30	164	1	1	1	1	1	0	0	0	0	1	0	1	1	1	1	1	1	1	1
Washington	31	157	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	1	1	1	1
Kennedy	32	156	1	0	1	1	0	1	1	1	1	0	1	1	0	1	1	1	1	1	1
Kenwood	33	155	1	1	1	1	0	0	0	1	1	1	0	1	0	1	1	1	1	1	1
Simeon_Vocational	34	153	1	0	1	1	1	0	0	1	0	1	0	0	1	1	1	1	1	1	1
Lincoln_Park	35	152	1	1	1	1	0	1	0	1	1	0	1	1	0	1	1	1	1	1	1
Curie	36	142	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	1	1	1	1
Bogan	37	141	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	1	1	1	1
Westinghouse_Area_Voc	38	139	1	0	1	0	0	0	1	1	0	1	0	0	1	0	0	1	0	0	0
Hyde_Park_Career	39	127	1	1	1	1	0	0	0	1	0	1	0	1	1	1	1	1	1	1	1
Mather	40	126	1	1	1	1	1	1	0	0	1	0	1	1	0	1	1	1	1	1	1
Dunabr_Vocational	41	122	1	1	1	1	1	0	0	1	1	1	0	0	1	0	1	1	1	1	1
Collins	42	118	1	0	0	0	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0
Prosser_Vocational	43	114	1	0	1	1	1	1	0	1	1	0	1	1	0	1	1	1	1	1	1
King	44	113	1	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0
Near_North_Career	45	112	1	0	0	1	1	1	1	0	1	1	1	1	0	0	0	0	0	0	0
Cregier_Vocational	46	105	1	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	1
Julian	47	104	1	1	1	0	1	0	0	1	0	1	0	0	1	1	1	1	0	1	1
Tilden	48	102	1	1	0	0	0	1	1	0	1	0	1	1	0	1	0	0	0	0	0
Kelly	49	85	1	1	0	0	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1
Flower_Vocational	50	83	1	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0
Hubbard	51	77	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1
Von_Steuben_Metro	52	63	1	0	1	1	1	1	0	1	1	0	1	1	0	1	1	1	1	1	1
Morgan_Park	53	56	1	1	1	1	1	1	0	0	1	0	1	1	0	1	1	1	1	1	1
South_Shore	54	45	1	0	1	0	1	0	0	1	0	1	0	0	1	0	0	0	0	0	0
Lane_Technical	55	41	1	1	1	1	1	0	0	0	1	0	1	1	0	1	1	1	1	1	1
Linblom_Technical	56	40	1	0	1	1	0	0	0	0	0	1	0	0	1	1	1	1	1	1	1
Chicago_Agriculture	57	39	1	0	1	1	1	1	0	1	1	0	1	0	0	1	1	1	1	1	1
 																					
