name	running_number	leg_circumference_age_18	Completeness_of_data	weight_age_2	height_age_2	wheight_age_9	height_age_9	leg_circumference_age_9	strength_age_9	weight_age_18	height_age_18	strength_age_18	somatotype
boy1	100	441	1	1	1	1	1	1	1	1	1	1	0
girl1	200	425	1	1	0	1	1	1	0	1	0	1	1
boy2	300	404	1	1	1	1	0	1	0	1	0	1	0
girl2	400	398	1	1	1	1	0	1	1	1	0	1	1
boy3	500	392	1	1	0	1	0	1	1	1	0	1	0
boy4	600	391	1	0	0	0	0	0	0	1	0	0	0
girl3	700	390	1	1	1	1	1	1	1	1	1	1	1
girl4	800	388	1	0	0	1	1	1	1	1	1	0	1
girl5	900	386	1	0	0	1	1	1	1	1	0	0	1
girl6	1000	384	1	1	1	1	1	1	0	1	1	1	1
boy5	1100	380	1	1	1	1	1	1	1	1	1	1	0
girl7	1200	379	1	1	1	1	1	1	1	1	1	1	1
girl8	1300	378	1	0	0	0	0	0	0	0	0	0	1
boy6	1400	373	1	0	0	0	0	1	1	0	0	0	0
boy7	1500	370	1	0	0	0	1	0	1	0	1	1	0
boy8	1600	369	1	0	0	0	1	0	0	1	1	1	0
boy9	1700	368	1	1	1	1	1	1	1	1	0	0	0
girl9	1800	367	1	1	0	1	1	1	1	1	1	1	1
boy10	1900	366	1	1	1	1	1	1	0	1	1	1	0
boy11	2000	365	1	1	0	1	0	1	1	1	0	1	0
girl10	2100	362	1	0	1	0	0	0	0	0	0	1	1
boy12	2200	361	1	0	1	1	1	0	1	1	1	1	0
girl11	2300	358	1	0	1	1	1	1	1	1	1	1	1
girl12	2400	357	1	1	1	1	1	1	1	1	1	1	1
girl13	2500	355	1	1	1	0	1	0	1	1	1	0	1
boy13	2600	354	1	1	1	0	0	0	1	0	1	0	0
boy14	2700	353	1	1	1	1	1	0	0	0	1	0	0
girl14	2800	348	1	0	0	0	0	1	1	0	0	0	1
girl15	2900	345	1	1	1	0	0	0	1	1	1	1	1
boy15	3000	343	1	0	1	0	1	0	0	0	1	0	0
girl16	3100	342	1	1	1	0	1	0	1	1	1	1	1
girl17	3200	341	1	1	1	0	0	0	1	0	1	0	1
girl18	3300	340	1	1	1	0	1	0	0	0	1	0	1
boy16	3400	339	1	1	1	1	1	1	0	1	1	0	0
girl19	3500	338	1	0	1	1	1	1	1	0	0	1	1
boy17	3600	335	1	0	0	0	1	0	1	0	1	0	0
girl20	3700	334	1	0	0	0	0	0	0	0	0	1	1
boy18	3800	333	1	0	0	0	0	0	1	0	0	0	0
girl21	3900	330	1	1	0	1	0	1	0	0	0	0	1
girl22	4000	328	1	1	1	1	1	1	0	1	1	0	1
girl23	4100	327	1	1	1	0	0	0	1	0	1	0	1
girl24	4200	324	1	0	0	0	0	0	0	0	0	0	1
girl25	4300	322	1	0	0	0	0	0	0	0	0	0	1
boy19	4400	316	1	0	0	0	0	0	0	0	0	0	0
boy20	4500	310	1	0	0	0	0	0	0	0	0	0	0
girl26	4600	300	1	0	0	0	0	0	1	0	0	1	1
													
 													
