name_code	running_number	averagage_rent	Completeness_of_data	average_rent_for_tillable_land	density_of_dairy_cows	proportion_of_farmland_used_as_pasture	liming_requirement
county100	100	9917	1	1	1	0	0
county200	200	9667	1	1	1	0	0
county300	300	9000	1	1	0	0	1
county400	400	8500	1	1	1	1	1
county500	500	8250	1	1	1	0	1
county600	600	7750	1	1	1	1	0
county700	700	7500	1	1	1	0	0
county800	800	7250	1	1	0	0	0
county900	900	6500	1	1	1	1	0
county1000	1000	6250	1	1	1	0	0
county1100	1100	6125	1	1	0	0	1
county1200	1200	6033	1	1	1	1	0
county1300	1300	6000	1	1	1	1	0
county1400	1400	5875	1	1	0	0	1
county1500	1500	5750	1	1	1	0	0
county1600	1600	5667	1	1	1	0	0
county1700	1700	5600	1	0	1	1	0
county1800	1800	5250	1	1	0	0	0
county1900	1900	5214	1	1	1	1	0
county2000	2000	5179	1	1	0	1	1
county2100	2100	5150	1	1	0	0	1
county2200	2200	5083	1	1	0	0	1
county2300	2300	5000	1	1	1	1	1
county2400	2400	4975	1	1	1	1	0
county2500	2500	4917	1	1	0	0	1
county2600	2600	4875	1	1	1	1	0
county2700	2700	4867	1	0	1	1	1
county2800	2800	4850	1	1	0	1	1
county2900	2900	4025	1	0	0	0	1
county3000	3000	4000	1	0	1	1	0
county3100	3100	3917	1	1	0	0	1
county3200	3200	3750	1	0	1	1	0
county3300	3300	3650	1	0	1	1	0
county3400	3400	3500	1	1	0	0	1
county3500	3500	3433	1	0	0	0	1
county3600	3600	3250	1	0	1	1	1
county3700	3700	3156	1	0	0	1	1
county3800	3800	3100	1	0	1	1	1
county3900	3900	3067	1	0	0	0	1
county4000	4000	2800	1	0	0	0	1
county4100	4100	2625	1	0	0	0	1
county4200	4200	2580	1	0	1	1	1
county4300	4300	2500	1	0	0	1	1
county4400	4400	2450	1	1	0	0	1
county4500	4500	2250	1	0	1	1	0
county4600	4600	2167	1	0	0	1	1
county4700	4700	2078	1	0	0	0	1
county4800	4800	2000	1	0	1	1	1
county4900	4900	1975	1	0	0	0	1
county5000	5000	1933	1	0	0	0	0
county5100	5100	1900	1	0	0	0	1
county5200	5200	1838	1	0	1	1	0
county5300	5300	1625	1	0	1	1	0
county5400	5400	1600	1	0	1	1	0
county5500	5500	1200	1	0	0	1	0
county5600	5600	1150	1	0	0	1	0
county5700	5700	850	1	0	0	0	0
county5800	5800	500	1	0	0	1	0
