Name	Running_Number	Salary	Completeness_of_data	Rank	Years_in_current_rank	Year_Degree_was_earned	Sex	Highest_Degree
prof100	100	38045	1	1	1	1	1	1
prof200	200	36350	1	1	1	1	0	1
prof300	300	35350	1	1	1	1	0	1
prof400	400	33696	1	1	1	1	0	0
prof500	500	32850	1	1	1	1	0	0
prof600	600	31909	1	1	1	1	0	1
prof700	700	31850	1	1	1	1	0	0
prof800	800	31114	1	1	1	1	0	1
prof900	900	29342	1	1	1	1	0	1
prof1000	1000	28516	1	1	1	1	0	1
prof1100	1100	28200	1	1	1	1	0	1
prof1200	1200	27959	1	1	1	0	0	1
prof1300	1300	27025	1	1	1	1	0	1
prof1400	1400	26775	1	1	1	1	1	1
prof1500	1500	26182	1	1	0	0	0	0
prof1600	1600	25748	1	1	1	1	0	1
prof1700	1700	25500	1	1	0	1	1	1
prof1800	1800	25400	1	1	0	1	0	1
prof1900	1900	24900	1	1	0	1	1	0
prof2000	2000	24832	1	1	1	0	0	1
prof2100	2100	24800	1	1	1	0	0	1
prof2200	2200	24750	1	1	1	1	0	1
prof2300	2300	24742	1	1	1	0	0	0
prof2400	2400	24450	1	1	0	1	0	0
prof2500	2500	23725	1	1	0	1	0	0
prof2600	2600	23713	1	0	1	0	0	0
prof2700	2700	23712	1	1	1	1	0	0
prof2800	2800	23300	1	1	1	1	0	0
prof2900	2900	22906	1	1	1	1	0	0
prof3000	3000	22450	1	1	0	1	1	0
prof3100	3100	21600	1	0	1	1	1	0
prof3200	3200	20999	1	1	0	0	0	1
prof3300	3300	20850	1	1	0	0	0	1
prof3400	3400	20690	1	1	0	1	1	0
prof3500	3500	20525	1	1	1	1	0	0
prof3600	3600	20300	1	0	0	0	1	1
prof3700	3700	19175	1	0	1	1	0	0
prof3800	3800	18304	1	0	1	0	1	1
prof3900	3900	18075	1	0	0	0	0	1
prof4000	4000	18000	1	0	0	0	0	0
prof4100	4100	17600	1	0	0	0	0	1
prof4200	4200	17250	1	0	0	0	1	1
prof4300	4300	17095	1	0	0	0	0	1
prof4400	4400	16700	1	0	0	0	0	1
prof4500	4500	16686	1	0	0	0	1	1
prof4600	4600	16500	1	0	0	0	0	1
prof4700	4700	16244	1	0	0	0	0	1
prof4800	4800	16150	1	0	0	0	1	1
prof4900	4900	16094	1	0	0	0	0	1
prof5000	5000	15350	1	0	0	0	1	1
prof5100	5100	15000	1	0	0	0	1	1
