highway_number	running_number	Accident_Rate	Completeness_of_data	Length_of_Segment	Daily_Traffic	Truck_Volume	Speed_Limit	Lane_Width	Width_Outer_Shoulder	Freeway_Type_Interchanges	Signalized_Interchanges	Access_Points	Number_of_Lanes	Federal_Aid_Interstate_Highway	Principal_Arterial_Highway	Major_Aterial_Highway
highway100	100	923	1	0	1	0	0	1	0	1	1	1	1	0	0	1
highway200	200	860	1	0	1	0	0	1	0	1	1	1	0	0	0	1
highway300	300	821	1	0	0	0	1	1	1	1	1	1	0	0	0	1
highway400	400	748	1	1	0	0	0	1	0	0	1	1	0	0	0	1
highway500	500	687	1	0	1	0	1	1	1	1	1	1	1	0	1	0
highway600	600	612	1	0	1	1	1	1	1	1	1	1	1	0	1	0
highway700	700	588	1	0	1	0	0	1	0	0	1	0	1	0	1	0
highway800	800	577	1	1	0	0	0	0	0	0	1	1	0	0	0	1
highway900	900	480	1	0	1	1	0	1	1	0	1	1	0	0	1	0
highway1000	1000	461	1	1	1	1	0	1	0	1	1	1	1	0	1	0
highway1100	1100	458	1	0	1	0	1	1	1	1	0	0	1	1	0	0
highway1200	1200	427	1	1	0	1	1	0	0	0	0	0	0	0	0	1
highway1300	1300	422	1	0	0	1	0	1	0	1	1	0	0	0	1	0
highway1400	1400	420	1	0	1	0	1	1	1	1	1	0	1	0	1	0
highway1500	1500	412	1	1	0	1	1	1	0	0	0	1	0	0	0	0
highway1600	1600	385	1	0	1	0	1	1	1	1	1	1	1	0	1	0
highway1700	1700	378	1	1	0	1	1	1	0	0	0	1	0	0	0	1
highway1800	1800	329	1	1	1	1	0	1	0	1	1	0	1	0	1	0
highway1900	1900	305	1	1	0	1	1	1	1	0	0	0	0	0	0	0
highway2000	2000	302	1	0	1	1	1	1	1	1	0	0	1	1	0	0
highway2100	2100	297	1	1	0	1	1	1	0	0	0	0	0	0	0	1
highway2200	2200	293	1	1	0	1	1	1	0	0	0	1	0	0	0	1
highway2300	2300	290	1	0	0	1	1	1	0	0	0	1	0	0	0	1
highway2400	2400	286	1	1	1	0	1	1	1	1	0	0	1	1	0	0
highway2500	2500	283	1	1	0	1	0	1	1	0	1	1	0	0	1	0
highway2600	2600	276	1	0	0	0	1	1	0	1	0	1	0	0	1	0
highway2700	2700	269	1	1	1	0	1	1	1	1	1	0	1	0	1	0
highway2800	2800	257	1	0	0	0	1	1	0	0	0	1	0	0	0	1
highway2900	2900	255	1	1	0	0	1	1	1	0	1	0	1	0	1	0
highway3000	3000	234	1	1	0	0	1	1	1	0	0	0	0	0	1	0
highway3100	3100	229	1	0	1	1	1	1	1	1	0	0	1	1	0	0
highway3200	3200	201	1	0	1	1	1	1	1	1	1	1	1	0	1	0
highway3300	3300	199	1	0	1	1	1	1	1	1	0	0	1	0	1	0
highway3400	3400	189	1	1	1	1	1	1	1	0	1	0	1	0	1	0
highway3500	3500	184	1	1	0	1	1	0	1	0	1	1	0	0	0	1
highway3600	3600	181	1	1	0	1	1	1	0	0	0	0	0	0	1	0
highway3700	3700	161	1	1	1	1	1	1	1	1	0	0	1	1	0	0
