name	running_number	Rainfall	Completeness_of_data	Action	Days_after_experiment	suitability_for_seeding	percent_cloud_cover_on_day_of_experiment	prewetness	Echo_motion	 
case1	1	1285	1	0	0	0	1	1	1	
case2	2	1186	1	1	1	0	1	0	0	
case3	3	635	1	0	0	0	1	1	0	
case4	4	629	1	1	0	1	0	0	1	
case5	5	611	1	0	0	0	1	1	0	
case6	6	574	1	0	1	1	1	1	0	
case7	7	552	1	1	0	0	1	1	0	
case8	8	545	1	1	1	1	1	0	1	
case9	9	506	1	1	0	0	0	0	0	
case10	10	484	1	1	1	0	0	0	0	
case11	11	456	1	0	0	1	0	0	0	
case12	12	445	1	0	1	1	1	1	0	
case13	13	422	1	1	1	1	0	1	0	
case14	14	405	1	1	0	0	0	0	0	
case15	15	366	1	0	1	1	0	1	1	
case16	16	361	1	0	0	0	1	0	1	
case17	17	276	1	1	0	1	0	1	0	
case18	18	245	1	1	0	1	1	1	0	
case19	19	202	1	1	1	0	0	0	0	
case20	20	116	1	0	1	1	0	1	0	
case21	21	109	1	1	1	1	1	0	0	
case22	22	82	1	0	1	0	0	0	0	
case23	23	47	1	0	0	0	0	1	0	
case24	24	28	1	0	1	1	1	0	0	
