House_Name	Running_number	Acutual_sale_price	Completeness_of_data	Current_Taxes	Number_of_bathrooms	Lot_size	Living_space	Number_of_garage_spaces	Number_of_rooms	Number_of_bedrooms	Age_of_house	Price	Number_of_fireplaces
house1 	1	849	1	1	1	1	1	1	1	1	1	1	1
house2	2	829	1	1	1	1	1	1	1	1	0	1	1
house3	3	458	1	1	1	1	1	1	1	1	0	1	0
house4	4	445	1	1	1	1	1	1	1	1	1	1	1
house5	5	439	1	1	0	1	1	1	1	1	0	1	0
house6	6	419	1	1	1	1	0	1	1	1	0	1	1
house7	7	410	1	1	1	0	0	1	0	1	0	1	1
house8	8	405	1	1	1	1	0	0	0	1	0	1	0
house9	9	389	1	1	1	1	1	1	1	1	1	1	1
house10	10	379	1	1	1	0	1	0	0	1	0	1	0
house11	11	375	1	0	0	0	0	1	0	1	1	1	1
house12	12	369	1	1	1	0	1	1	1	1	1	0	0
house13	13	359	1	0	0	1	0	1	0	1	0	0	0
house14	14	315	1	0	0	0	1	0	0	1	0	0	0
house15	15	310	1	0	0	0	0	0	0	0	0	0	0
house16	16	309	1	0	0	1	0	0	1	1	1	0	1
house17	17	300	1	0	0	0	0	0	0	0	1	0	1
house18	18	299	1	0	0	0	0	0	0	1	1	0	0
house19	19	295	1	0	0	0	1	1	1	1	1	0	0
house20	20	289	1	0	0	1	1	0	0	1	0	0	0
house21	21	279	1	0	0	0	0	0	0	1	1	0	0
house22	22	259	1	0	0	0	0	0	1	1	1	0	0
