"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,10,8,6,7,10,7
1,1,1,2,2,2,3,4,5,3,3,6,2,2,4,4,3,6,2,3,3
1,1,1,2,2,2,3,3,3,5,6,4,8,5,4,5,7,6,6,8,5
1,1,1,2,2,2,6,7,3,6,6,7,4,6,5,7,6,5,5,5,0
1,1,1,2,2,5,2,5,5,3,0,0,0,0,0,0,0,0,0,0,0
1,1,2,2,2,3,7,7,7,5,7,7,7,5,4,5,6,6,6,5,0
1,1,1,2,2,8,4,7,3,5,7,9,3,6,7,6,8,4,4,4,5
1,1,1,4,1,4,4,2,3,5,3,3,3,4,5,5,4,5,2,3,5
1,1,1,2,2,2,6,3,3,4,4,4,4,4,4,5,4,5,4,5,5
1,1,2,2,2,2,3,3,3,50,15,3,15,4,4,20,50,5,20,20,20
1,1,1,2,2,2,3,3,3,4,6,7,6,9,5,6,7,6,9,9,9
1,1,1,2,4,3,7,4,4,3,3,4,4,5,3,3,3,6,0,0,0
1,1,1,2,3,5,3,4,6,6,3,4,4,5,6,5,6,5,0,0,0
1,1,1,2,2,3,3,3,10,3,4,4,10,3,4,4,5,4,5,4,5
1,1,1,3,2,2,2,3,3,6,4,2,4,5,5,7,6,5,4,5,5
1,1,6,2,2,2,2,2,7,2,4,4,2,2,2,2,7,2,2,6,0
1,1,1,2,2,2,1,4,3,4,4,5,5,5,5,5,5,5,5,4,5
1,1,2,2,2,2,3,3,3,50,15,3,15,4,4,20,50,5,20,20,20
1,2,1,2,2,2,3,3,3,4,4,3,2,3,3,5,10,4,8,8,8
1,1,1,2,2,2,2,3,3,4,4,4,5,5,5,7,10,9,10,10,10
