"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,8,8,8,10,10,10
1,1,1,2,2,2,3,3,3,4,4,4,5,5,8,8,10,10,0,0,0
1,1,1,2,2,2,3,3,3,4,4,4,5,5,8,8,10,10,10,0,0
1,1,1,2,2,2,3,3,3,4,4,4,5,5,8,8,8,10,0,0,0
1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,8,8,8,10,10,10
1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,8,8,8,10,10,10
1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,8,8,10,10,10,0
1,1,1,2,2,2,3,3,4,4,4,5,5,5,8,8,10,10,10,0,0
1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,8,8,8,10,10,10
1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,8,8,8,10,10,10
1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,8,8,8,10,10,10
1,1,1,2,2,2,3,3,3,4,4,4,5,5,8,10,10,0,0,0,0
1,1,2,2,3,3,3,4,4,5,5,8,8,10,10,10,0,0,0,0,0
1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,8,8,8,10,10,10
1,1,1,2,2,3,3,3,4,4,4,5,5,5,8,8,8,10,10,10,0
1,1,1,2,2,2,3,3,3,4,4,4,5,5,8,8,10,10,10,0,0
1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,8,8,8,10,10,10
1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,8,8,8,10,10,10
1,1,1,2,2,2,3,3,3,4,4,4,5,5,8,8,10,10,10,0,0
1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,8,8,8,10,10,10
