key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,key5.keys,key5.rt,respT.keys,respT.corr,respT.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ss_Amt,ss_Delay,ll_Amt,ll_Delay
space,3.304,space,0.7773,space,0.2838,space,1.7851,left,2.8418,space,1.4348,right,0,3.6704,0,0,0,2,1,10000,19000,89,002,1100948955,2022-06-02_18h25.30.725,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,
,,,,,,,,,,,,left,1,3.0175,0,1,1,0,1,10000,109000,9,002,1100948955,2022-06-02_18h25.30.725,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,
,,,,,,,,,,,,right,0,5.3554,0,2,2,1,1,25000,35000,150,002,1100948955,2022-06-02_18h25.30.725,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,002,1100948955,2022-06-02_18h25.30.725,tareaTDv3,2020.2.5,Win32,60,g,7.8679,left,1,2.5543,0,0,0,89,1,25000,0,150000,150
,,,,,,,,,,,,,,,,,,,,,,,002,1100948955,2022-06-02_18h25.30.725,tareaTDv3,2020.2.5,Win32,60,,,right,0,1.8393,0,1,1,61,1,25000,0,55000,6
,,,,,,,,,,,,,,,,,,,,,,,002,1100948955,2022-06-02_18h25.30.725,tareaTDv3,2020.2.5,Win32,60,,,left,0,1.1708,0,2,2,81,1,25000,0,55000,90
,,,,,,,,,,,,,,,,,,,,,,,002,1100948955,2022-06-02_18h25.30.725,tareaTDv3,2020.2.5,Win32,60,,,right,0,3.1445,0,3,3,7,1,10000,0,59000,9
,,,,,,,,,,,,,,,,,,,,,,,002,1100948955,2022-06-02_18h25.30.725,tareaTDv3,2020.2.5,Win32,60,,,left,0,1.2196,0,4,4,65,1,25000,0,35000,11
,,,,,,,,,,,,,,,,,,,,,,,002,1100948955,2022-06-02_18h25.30.725,tareaTDv3,2020.2.5,Win32,60,,,left,0,2.6788,0,5,5,10,1,10000,0,21000,31
,,,,,,,,,,,,,,,,,,,,,,,002,1100948955,2022-06-02_18h25.30.725,tareaTDv3,2020.2.5,Win32,60,,,left,1,1.7338,0,6,6,15,1,10000,0,20000,59
,,,,,,,,,,,,,,,,,,,,,,,002,1100948955,2022-06-02_18h25.30.725,tareaTDv3,2020.2.5,Win32,60,,,left,1,1.8419,0,7,7,63,1,25000,0,125000,4
,,,,,,,,,,,,,,,,,,,,,,,002,1100948955,2022-06-02_18h25.30.725,tareaTDv3,2020.2.5,Win32,60,,,left,0,2.0331,0,8,8,86,1,25000,0,55000,151
,,,,,,,,,,,,,,,,,,,,,,,002,1100948955,2022-06-02_18h25.30.725,tareaTDv3,2020.2.5,Win32,60,,,right,0,1.4887,0,9,9,9,1,10000,0,151000,11
,,,,,,,,,,,,,,,,,,,,,,,002,1100948955,2022-06-02_18h25.30.725,tareaTDv3,2020.2.5,Win32,60,,,left,1,2.0123,0,10,10,41,1,5000,0,35000,31
,,,,,,,,,,,,,,,,,,,,,,,002,1100948955,2022-06-02_18h25.30.725,tareaTDv3,2020.2.5,Win32,60,,,right,0,1.6937,0,11,11,27,1,10000,0,61000,150
,,,,,,,,,,,,,,,,,,,,,,,002,1100948955,2022-06-02_18h25.30.725,tareaTDv3,2020.2.5,Win32,60,,,right,1,4.0341,0,12,12,53,1,5000,0,104000,90
,,,,,,,,,,,,,,,,,,,,,,,002,1100948955,2022-06-02_18h25.30.725,tareaTDv3,2020.2.5,Win32,60,,,right,0,1.3305,0,13,13,57,1,5000,0,55000,151
,,,,,,,,,,,,,,,,,,,,,,,002,1100948955,2022-06-02_18h25.30.725,tareaTDv3,2020.2.5,Win32,60,,,left,1,1.7871,0,14,14,0,1,10000,0,20000,5
,,,,,,,,,,,,,,,,,,,,,,,002,1100948955,2022-06-02_18h25.30.725,tareaTDv3,2020.2.5,Win32,60,,,right,0,1.567,0,15,15,19,1,10000,0,149000,61
,,,,,,,,,,,,,,,,,,,,,,,002,1100948955,2022-06-02_18h25.30.725,tareaTDv3,2020.2.5,Win32,60,,,right,0,1.2247,0,16,16,82,1,25000,0,75000,90
,,,,,,,,,,,,,,,,,,,,,,,002,1100948955,2022-06-02_18h25.30.725,tareaTDv3,2020.2.5,Win32,60,,,left,1,3.3337,0,17,17,4,1,10000,0,150000,5
,,,,,,,,,,,,,,,,,,,,,,,002,1100948955,2022-06-02_18h25.30.725,tareaTDv3,2020.2.5,Win32,60,,,left,0,1.3844,0,18,18,28,1,10000,0,109000,149
,,,,,,,,,,,,,,,,,,,,,,,002,1100948955,2022-06-02_18h25.30.725,tareaTDv3,2020.2.5,Win32,60,,,left,0,2.9655,0,19,19,18,1,10000,0,110000,60
,,,,,,,,,,,,,,,,,,,,,,,002,1100948955,2022-06-02_18h25.30.725,tareaTDv3,2020.2.5,Win32,60,,,right,0,2.1037,0,20,20,80,1,25000,0,35000,90
,,,,,,,,,,,,,,,,,,,,,,,002,1100948955,2022-06-02_18h25.30.725,tareaTDv3,2020.2.5,Win32,60,,,right,1,2.933,0,21,21,68,1,25000,0,125000,9
,,,,,,,,,,,,,,,,,,,,,,,002,1100948955,2022-06-02_18h25.30.725,tareaTDv3,2020.2.5,Win32,60,,,left,0,1.0099,0,22,22,87,1,25000,0,75000,151
,,,,,,,,,,,,,,,,,,,,,,,002,1100948955,2022-06-02_18h25.30.725,tareaTDv3,2020.2.5,Win32,60,,,right,1,2.7243,0,23,23,35,1,5000,0,15000,11
,,,,,,,,,,,,,,,,,,,,,,,002,1100948955,2022-06-02_18h25.30.725,tareaTDv3,2020.2.5,Win32,60,,,left,0,1.7242,0,24,24,50,1,5000,0,15000,91
,,,,,,,,,,,,,,,,,,,,,,,002,1100948955,2022-06-02_18h25.30.725,tareaTDv3,2020.2.5,Win32,60,,,right,1,1.0649,0,25,25,51,1,5000,0,35000,89
,,,,,,,,,,,,,,,,,,,,,,,002,1100948955,2022-06-02_18h25.30.725,tareaTDv3,2020.2.5,Win32,60,,,left,1,2.7868,0,26,26,84,1,25000,0,150000,89
,,,,,,,,,,,,,,,,,,,,,,,002,1100948955,2022-06-02_18h25.30.725,tareaTDv3,2020.2.5,Win32,60,,,right,1,2.4535,0,27,27,48,1,5000,0,105000,60
,,,,,,,,,,,,,,,,,,,,,,,002,1100948955,2022-06-02_18h25.30.725,tareaTDv3,2020.2.5,Win32,60,,,right,1,1.3693,0,28,28,66,1,25000,0,55000,11
,,,,,,,,,,,,,,,,,,,,,,,002,1100948955,2022-06-02_18h25.30.725,tareaTDv3,2020.2.5,Win32,60,,,right,1,2.3396,0,29,29,67,1,25000,0,75000,10
,,,,,,,,,,,,,,,,,,,,,,,002,1100948955,2022-06-02_18h25.30.725,tareaTDv3,2020.2.5,Win32,60,,,left,0,1.4338,0,30,30,58,1,5000,0,106000,152
,,,,,,,,,,,,,,,,,,,,,,,002,1100948955,2022-06-02_18h25.30.725,tareaTDv3,2020.2.5,Win32,60,,,right,1,1.3728,0,31,31,43,1,5000,0,106000,29
,,,,,,,,,,,,,,,,,,,,,,,002,1100948955,2022-06-02_18h25.30.725,tareaTDv3,2020.2.5,Win32,60,,,right,0,4.3704,0,32,32,5,1,10000,0,19000,11
,,,,,,,,,,,,,,,,,,,,,,,002,1100948955,2022-06-02_18h25.30.725,tareaTDv3,2020.2.5,Win32,60,,,left,1,2.8952,0,33,33,38,1,5000,0,104000,10
,,,,,,,,,,,,,,,,,,,,,,,002,1100948955,2022-06-02_18h25.30.725,tareaTDv3,2020.2.5,Win32,60,,,right,1,3.128,0,34,34,69,1,25000,0,150000,9
,,,,,,,,,,,,,,,,,,,,,,,002,1100948955,2022-06-02_18h25.30.725,tareaTDv3,2020.2.5,Win32,60,,,left,1,3.0746,0,35,35,70,1,25000,0,35000,30
,,,,,,,,,,,,,,,,,,,,,,,002,1100948955,2022-06-02_18h25.30.725,tareaTDv3,2020.2.5,Win32,60,,,right,1,4.0608,0,36,36,74,1,25000,0,150000,29
,,,,,,,,,,,,,,,,,,,,,,,002,1100948955,2022-06-02_18h25.30.725,tareaTDv3,2020.2.5,Win32,60,,,right,1,1.689,0,37,37,36,1,5000,0,36000,9
,,,,,,,,,,,,,,,,,,,,,,,002,1100948955,2022-06-02_18h25.30.725,tareaTDv3,2020.2.5,Win32,60,,,left,1,1.1337,0,38,38,49,1,5000,0,149000,59
,,,,,,,,,,,,,,,,,,,,,,,002,1100948955,2022-06-02_18h25.30.725,tareaTDv3,2020.2.5,Win32,60,,,right,1,2.7744,0,39,39,23,1,10000,0,110000,90
,,,,,,,,,,,,,,,,,,,,,,,002,1100948955,2022-06-02_18h25.30.725,tareaTDv3,2020.2.5,Win32,60,,,left,0,2.3574,0,40,40,52,1,5000,0,56000,89
,,,,,,,,,,,,,,,,,,,,,,,002,1100948955,2022-06-02_18h25.30.725,tareaTDv3,2020.2.5,Win32,60,,,left,1,2.3069,0,41,41,24,1,10000,0,149000,89
,,,,,,,,,,,,,,,,,,,,,,,002,1100948955,2022-06-02_18h25.30.725,tareaTDv3,2020.2.5,Win32,60,,,right,1,1.001,0,42,42,78,1,25000,0,125000,59
,,,,,,,,,,,,,,,,,,,,,,,002,1100948955,2022-06-02_18h25.30.725,tareaTDv3,2020.2.5,Win32,60,,,right,0,1.0702,0,43,43,83,1,25000,0,125000,89
,,,,,,,,,,,,,,,,,,,,,,,002,1100948955,2022-06-02_18h25.30.725,tareaTDv3,2020.2.5,Win32,60,,,right,1,0.9256,0,44,44,73,1,25000,0,125000,31
,,,,,,,,,,,,,,,,,,,,,,,002,1100948955,2022-06-02_18h25.30.725,tareaTDv3,2020.2.5,Win32,60,,,right,1,1.5622,0,45,45,32,1,5000,0,54000,5
,,,,,,,,,,,,,,,,,,,,,,,002,1100948955,2022-06-02_18h25.30.725,tareaTDv3,2020.2.5,Win32,60,,,left,1,0.6042,0,46,46,33,1,5000,0,104000,5
,,,,,,,,,,,,,,,,,,,,,,,002,1100948955,2022-06-02_18h25.30.725,tareaTDv3,2020.2.5,Win32,60,,,left,0,4.3005,0,47,47,2,1,10000,0,61000,4
,,,,,,,,,,,,,,,,,,,,,,,002,1100948955,2022-06-02_18h25.30.725,tareaTDv3,2020.2.5,Win32,60,,,left,1,3.4387,0,48,48,11,1,10000,0,39000,29
,,,,,,,,,,,,,,,,,,,,,,,002,1100948955,2022-06-02_18h25.30.725,tareaTDv3,2020.2.5,Win32,60,,,left,1,2.0657,0,49,49,12,1,10000,0,60000,29
,,,,,,,,,,,,,,,,,,,,,,,002,1100948955,2022-06-02_18h25.30.725,tareaTDv3,2020.2.5,Win32,60,,,right,1,0.7989,0,50,50,44,1,5000,0,150000,30
,,,,,,,,,,,,,,,,,,,,,,,002,1100948955,2022-06-02_18h25.30.725,tareaTDv3,2020.2.5,Win32,60,,,left,1,9.4123,0,51,51,40,1,5000,0,14000,31
,,,,,,,,,,,,,,,,,,,,,,,002,1100948955,2022-06-02_18h25.30.725,tareaTDv3,2020.2.5,Win32,60,,,left,0,2.1418,0,52,52,71,1,25000,0,55000,30
,,,,,,,,,,,,,,,,,,,,,,,002,1100948955,2022-06-02_18h25.30.725,tareaTDv3,2020.2.5,Win32,60,,,right,1,1.2554,0,53,53,55,1,5000,0,14000,149
,,,,,,,,,,,,,,,,,,,,,,,002,1100948955,2022-06-02_18h25.30.725,tareaTDv3,2020.2.5,Win32,60,,,right,0,2.324,0,54,54,17,1,10000,0,60000,60
,,,,,,,,,,,,,,,,,,,,,,,002,1100948955,2022-06-02_18h25.30.725,tareaTDv3,2020.2.5,Win32,60,,,right,1,2.6518,0,55,55,34,1,5000,0,151000,4
,,,,,,,,,,,,,,,,,,,,,,,002,1100948955,2022-06-02_18h25.30.725,tareaTDv3,2020.2.5,Win32,60,,,right,1,1.6942,0,56,56,31,1,5000,0,35000,6
,,,,,,,,,,,,,,,,,,,,,,,002,1100948955,2022-06-02_18h25.30.725,tareaTDv3,2020.2.5,Win32,60,,,left,1,0.6571,0,57,57,64,1,25000,0,150000,4
,,,,,,,,,,,,,,,,,,,,,,,002,1100948955,2022-06-02_18h25.30.725,tareaTDv3,2020.2.5,Win32,60,,,left,1,1.8193,0,58,58,30,1,5000,0,16000,4
,,,,,,,,,,,,,,,,,,,,,,,002,1100948955,2022-06-02_18h25.30.725,tareaTDv3,2020.2.5,Win32,60,,,right,1,0.9343,0,59,59,13,1,10000,0,111000,30
,,,,,,,,,,,,,,,,,,,,,,,002,1100948955,2022-06-02_18h25.30.725,tareaTDv3,2020.2.5,Win32,60,,,left,1,2.4688,0,60,60,59,1,5000,0,151000,150
,,,,,,,,,,,,,,,,,,,,,,,002,1100948955,2022-06-02_18h25.30.725,tareaTDv3,2020.2.5,Win32,60,,,right,1,3.8088,0,61,61,54,1,5000,0,150000,90
,,,,,,,,,,,,,,,,,,,,,,,002,1100948955,2022-06-02_18h25.30.725,tareaTDv3,2020.2.5,Win32,60,,,left,1,1.5383,0,62,62,46,1,5000,0,36000,61
,,,,,,,,,,,,,,,,,,,,,,,002,1100948955,2022-06-02_18h25.30.725,tareaTDv3,2020.2.5,Win32,60,,,right,1,2.2711,0,63,63,45,1,5000,0,15000,61
,,,,,,,,,,,,,,,,,,,,,,,002,1100948955,2022-06-02_18h25.30.725,tareaTDv3,2020.2.5,Win32,60,,,left,1,4.2376,0,64,64,75,1,25000,0,35000,60
,,,,,,,,,,,,,,,,,,,,,,,002,1100948955,2022-06-02_18h25.30.725,tareaTDv3,2020.2.5,Win32,60,,,right,1,2.481,0,65,65,14,1,10000,0,150000,30
,,,,,,,,,,,,,,,,,,,,,,,002,1100948955,2022-06-02_18h25.30.725,tareaTDv3,2020.2.5,Win32,60,,,right,1,1.6777,0,66,66,29,1,10000,0,151000,151
,,,,,,,,,,,,,,,,,,,,,,,002,1100948955,2022-06-02_18h25.30.725,tareaTDv3,2020.2.5,Win32,60,,,left,1,2.6397,0,67,67,26,1,10000,0,39000,150
,,,,,,,,,,,,,,,,,,,,,,,002,1100948955,2022-06-02_18h25.30.725,tareaTDv3,2020.2.5,Win32,60,,,left,1,3.2102,0,68,68,8,1,10000,0,111000,10
,,,,,,,,,,,,,,,,,,,,,,,002,1100948955,2022-06-02_18h25.30.725,tareaTDv3,2020.2.5,Win32,60,,,right,1,0.9335,0,69,69,76,1,25000,0,55000,60
,,,,,,,,,,,,,,,,,,,,,,,002,1100948955,2022-06-02_18h25.30.725,tareaTDv3,2020.2.5,Win32,60,,,right,1,2.2694,0,70,70,85,1,25000,0,35000,150
