key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,fbclid,key5.keys,key5.rt,respT.keys,respT.corr,respT.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ss_Amt,ss_Delay,ll_Amt,ll_Delay
space,5.2467,space,22.73,space,20.2458,space,5.0185,left,6.5975,space,1.2691,left,0,3.1817,0,0,0,2,1,10000,19000,89,002,155,2022-03-28_21h34.13.801,tareaTDv3,2020.2.5,Win32,60,IwAR0i0b38XuotkVXlZ-fFl4mQM23wZhk3n7VsWre_AyFOkrcYpHCiI9ReV-E,,,,,,,,,,,,,,
,,,,,,,,,,,,left,0,10.8626,0,1,1,1,1,25000,35000,150,002,155,2022-03-28_21h34.13.801,tareaTDv3,2020.2.5,Win32,60,IwAR0i0b38XuotkVXlZ-fFl4mQM23wZhk3n7VsWre_AyFOkrcYpHCiI9ReV-E,,,,,,,,,,,,,,
,,,,,,,,,,,,right,1,5.7791,0,2,2,0,1,10000,109000,9,002,155,2022-03-28_21h34.13.801,tareaTDv3,2020.2.5,Win32,60,IwAR0i0b38XuotkVXlZ-fFl4mQM23wZhk3n7VsWre_AyFOkrcYpHCiI9ReV-E,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,002,155,2022-03-28_21h34.13.801,tareaTDv3,2020.2.5,Win32,60,IwAR0i0b38XuotkVXlZ-fFl4mQM23wZhk3n7VsWre_AyFOkrcYpHCiI9ReV-E,g,148.7784,right,1,4.5895,0,0,0,82,1,25000,0,75000,90
,,,,,,,,,,,,,,,,,,,,,,,002,155,2022-03-28_21h34.13.801,tareaTDv3,2020.2.5,Win32,60,IwAR0i0b38XuotkVXlZ-fFl4mQM23wZhk3n7VsWre_AyFOkrcYpHCiI9ReV-E,,,right,1,3.2531,0,1,1,23,1,10000,0,110000,90
,,,,,,,,,,,,,,,,,,,,,,,002,155,2022-03-28_21h34.13.801,tareaTDv3,2020.2.5,Win32,60,IwAR0i0b38XuotkVXlZ-fFl4mQM23wZhk3n7VsWre_AyFOkrcYpHCiI9ReV-E,,,left,0,1.6589,0,2,2,45,1,5000,0,15000,61
,,,,,,,,,,,,,,,,,,,,,,,002,155,2022-03-28_21h34.13.801,tareaTDv3,2020.2.5,Win32,60,IwAR0i0b38XuotkVXlZ-fFl4mQM23wZhk3n7VsWre_AyFOkrcYpHCiI9ReV-E,,,right,1,6.6923,0,3,3,54,1,5000,0,150000,90
,,,,,,,,,,,,,,,,,,,,,,,002,155,2022-03-28_21h34.13.801,tareaTDv3,2020.2.5,Win32,60,IwAR0i0b38XuotkVXlZ-fFl4mQM23wZhk3n7VsWre_AyFOkrcYpHCiI9ReV-E,,,right,0,3.1903,0,4,4,70,1,25000,0,35000,30
,,,,,,,,,,,,,,,,,,,,,,,002,155,2022-03-28_21h34.13.801,tareaTDv3,2020.2.5,Win32,60,IwAR0i0b38XuotkVXlZ-fFl4mQM23wZhk3n7VsWre_AyFOkrcYpHCiI9ReV-E,,,left,1,1.9765,0,5,5,69,1,25000,0,150000,9
,,,,,,,,,,,,,,,,,,,,,,,002,155,2022-03-28_21h34.13.801,tareaTDv3,2020.2.5,Win32,60,IwAR0i0b38XuotkVXlZ-fFl4mQM23wZhk3n7VsWre_AyFOkrcYpHCiI9ReV-E,,,left,0,10.1335,0,6,6,79,1,25000,0,150000,61
,,,,,,,,,,,,,,,,,,,,,,,002,155,2022-03-28_21h34.13.801,tareaTDv3,2020.2.5,Win32,60,IwAR0i0b38XuotkVXlZ-fFl4mQM23wZhk3n7VsWre_AyFOkrcYpHCiI9ReV-E,,,right,0,5.2976,0,7,7,10,1,10000,0,21000,31
,,,,,,,,,,,,,,,,,,,,,,,002,155,2022-03-28_21h34.13.801,tareaTDv3,2020.2.5,Win32,60,IwAR0i0b38XuotkVXlZ-fFl4mQM23wZhk3n7VsWre_AyFOkrcYpHCiI9ReV-E,,,left,0,9.8579,0,8,8,49,1,5000,0,149000,59
,,,,,,,,,,,,,,,,,,,,,,,002,155,2022-03-28_21h34.13.801,tareaTDv3,2020.2.5,Win32,60,IwAR0i0b38XuotkVXlZ-fFl4mQM23wZhk3n7VsWre_AyFOkrcYpHCiI9ReV-E,,,right,1,9.7081,0,9,9,68,1,25000,0,125000,9
,,,,,,,,,,,,,,,,,,,,,,,002,155,2022-03-28_21h34.13.801,tareaTDv3,2020.2.5,Win32,60,IwAR0i0b38XuotkVXlZ-fFl4mQM23wZhk3n7VsWre_AyFOkrcYpHCiI9ReV-E,,,right,1,3.1489,0,10,10,38,1,5000,0,104000,10
,,,,,,,,,,,,,,,,,,,,,,,002,155,2022-03-28_21h34.13.801,tareaTDv3,2020.2.5,Win32,60,IwAR0i0b38XuotkVXlZ-fFl4mQM23wZhk3n7VsWre_AyFOkrcYpHCiI9ReV-E,,,left,0,1.6383,0,11,11,53,1,5000,0,104000,90
,,,,,,,,,,,,,,,,,,,,,,,002,155,2022-03-28_21h34.13.801,tareaTDv3,2020.2.5,Win32,60,IwAR0i0b38XuotkVXlZ-fFl4mQM23wZhk3n7VsWre_AyFOkrcYpHCiI9ReV-E,,,right,1,1.7392,0,12,12,64,1,25000,0,150000,4
,,,,,,,,,,,,,,,,,,,,,,,002,155,2022-03-28_21h34.13.801,tareaTDv3,2020.2.5,Win32,60,IwAR0i0b38XuotkVXlZ-fFl4mQM23wZhk3n7VsWre_AyFOkrcYpHCiI9ReV-E,,,left,0,6.1256,0,13,13,89,1,25000,0,150000,150
,,,,,,,,,,,,,,,,,,,,,,,002,155,2022-03-28_21h34.13.801,tareaTDv3,2020.2.5,Win32,60,IwAR0i0b38XuotkVXlZ-fFl4mQM23wZhk3n7VsWre_AyFOkrcYpHCiI9ReV-E,,,left,0,3.9728,0,14,14,60,1,25000,0,35000,5
,,,,,,,,,,,,,,,,,,,,,,,002,155,2022-03-28_21h34.13.801,tareaTDv3,2020.2.5,Win32,60,IwAR0i0b38XuotkVXlZ-fFl4mQM23wZhk3n7VsWre_AyFOkrcYpHCiI9ReV-E,,,right,0,4.2841,0,15,15,71,1,25000,0,55000,30
,,,,,,,,,,,,,,,,,,,,,,,002,155,2022-03-28_21h34.13.801,tareaTDv3,2020.2.5,Win32,60,IwAR0i0b38XuotkVXlZ-fFl4mQM23wZhk3n7VsWre_AyFOkrcYpHCiI9ReV-E,,,left,0,2.5654,0,16,16,46,1,5000,0,36000,61
,,,,,,,,,,,,,,,,,,,,,,,002,155,2022-03-28_21h34.13.801,tareaTDv3,2020.2.5,Win32,60,IwAR0i0b38XuotkVXlZ-fFl4mQM23wZhk3n7VsWre_AyFOkrcYpHCiI9ReV-E,,,left,0,2.6814,0,17,17,26,1,10000,0,39000,150
,,,,,,,,,,,,,,,,,,,,,,,002,155,2022-03-28_21h34.13.801,tareaTDv3,2020.2.5,Win32,60,IwAR0i0b38XuotkVXlZ-fFl4mQM23wZhk3n7VsWre_AyFOkrcYpHCiI9ReV-E,,,left,1,2.8315,0,18,18,40,1,5000,0,14000,31
,,,,,,,,,,,,,,,,,,,,,,,002,155,2022-03-28_21h34.13.801,tareaTDv3,2020.2.5,Win32,60,IwAR0i0b38XuotkVXlZ-fFl4mQM23wZhk3n7VsWre_AyFOkrcYpHCiI9ReV-E,,,right,0,1.6885,0,19,19,56,1,5000,0,35000,150
,,,,,,,,,,,,,,,,,,,,,,,002,155,2022-03-28_21h34.13.801,tareaTDv3,2020.2.5,Win32,60,IwAR0i0b38XuotkVXlZ-fFl4mQM23wZhk3n7VsWre_AyFOkrcYpHCiI9ReV-E,,,left,1,4.6882,0,20,20,66,1,25000,0,55000,11
,,,,,,,,,,,,,,,,,,,,,,,002,155,2022-03-28_21h34.13.801,tareaTDv3,2020.2.5,Win32,60,IwAR0i0b38XuotkVXlZ-fFl4mQM23wZhk3n7VsWre_AyFOkrcYpHCiI9ReV-E,,,right,1,6.9445,0,21,21,8,1,10000,0,111000,10
,,,,,,,,,,,,,,,,,,,,,,,002,155,2022-03-28_21h34.13.801,tareaTDv3,2020.2.5,Win32,60,IwAR0i0b38XuotkVXlZ-fFl4mQM23wZhk3n7VsWre_AyFOkrcYpHCiI9ReV-E,,,left,0,1.6329,0,22,22,87,1,25000,0,75000,151
,,,,,,,,,,,,,,,,,,,,,,,002,155,2022-03-28_21h34.13.801,tareaTDv3,2020.2.5,Win32,60,IwAR0i0b38XuotkVXlZ-fFl4mQM23wZhk3n7VsWre_AyFOkrcYpHCiI9ReV-E,,,right,1,3.0485,0,23,23,18,1,10000,0,110000,60
,,,,,,,,,,,,,,,,,,,,,,,002,155,2022-03-28_21h34.13.801,tareaTDv3,2020.2.5,Win32,60,IwAR0i0b38XuotkVXlZ-fFl4mQM23wZhk3n7VsWre_AyFOkrcYpHCiI9ReV-E,,,right,1,2.463,0,24,24,39,1,5000,0,149000,10
,,,,,,,,,,,,,,,,,,,,,,,002,155,2022-03-28_21h34.13.801,tareaTDv3,2020.2.5,Win32,60,IwAR0i0b38XuotkVXlZ-fFl4mQM23wZhk3n7VsWre_AyFOkrcYpHCiI9ReV-E,,,right,1,0.9095,0,25,25,72,1,25000,0,75000,31
,,,,,,,,,,,,,,,,,,,,,,,002,155,2022-03-28_21h34.13.801,tareaTDv3,2020.2.5,Win32,60,IwAR0i0b38XuotkVXlZ-fFl4mQM23wZhk3n7VsWre_AyFOkrcYpHCiI9ReV-E,,,right,0,0.9643,0,26,26,83,1,25000,0,125000,89
,,,,,,,,,,,,,,,,,,,,,,,002,155,2022-03-28_21h34.13.801,tareaTDv3,2020.2.5,Win32,60,IwAR0i0b38XuotkVXlZ-fFl4mQM23wZhk3n7VsWre_AyFOkrcYpHCiI9ReV-E,,,left,0,3.4653,0,27,27,35,1,5000,0,15000,11
