key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,key5.keys,key5.rt,respT.keys,respT.corr,respT.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ss_Amt,ss_Delay,ll_Amt,ll_Delay,key_resp_4.keys,key_resp_4.rt
space,0.3135,space,0.0386,space,0.0867,space,0.8302,right,0.7347,space,0.6481,right,0,0.2358,0,0,0,1,1,25000,35000,150,002,16,2022-03-28_17h48.38.557,tareaTDv3,2020.2.5,MacIntel,60,,,,,,,,,,,,,,,,
,,,,,,,,,,,,right,1,0.1728,0,1,1,2,1,10000,19000,89,002,16,2022-03-28_17h48.38.557,tareaTDv3,2020.2.5,MacIntel,60,,,,,,,,,,,,,,,,
,,,,,,,,,,,,left,0,3.0757,0,2,2,0,1,10000,109000,9,002,16,2022-03-28_17h48.38.557,tareaTDv3,2020.2.5,MacIntel,60,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,002,16,2022-03-28_17h48.38.557,tareaTDv3,2020.2.5,MacIntel,60,g,1.8751,right,1,1.5838,0,0,0,31,1,5000,0,35000,6,,
,,,,,,,,,,,,,,,,,,,,,,,002,16,2022-03-28_17h48.38.557,tareaTDv3,2020.2.5,MacIntel,60,,,right,1,2.2362,0,1,1,7,1,10000,0,59000,9,,
,,,,,,,,,,,,,,,,,,,,,,,002,16,2022-03-28_17h48.38.557,tareaTDv3,2020.2.5,MacIntel,60,,,left,1,1.459,0,2,2,49,1,5000,0,149000,59,,
,,,,,,,,,,,,,,,,,,,,,,,002,16,2022-03-28_17h48.38.557,tareaTDv3,2020.2.5,MacIntel,60,,,right,1,2.5709,0,3,3,34,1,5000,0,151000,4,,
,,,,,,,,,,,,,,,,,,,,,,,002,16,2022-03-28_17h48.38.557,tareaTDv3,2020.2.5,MacIntel,60,,,left,1,1.8116,0,4,4,82,1,25000,0,75000,90,,
,,,,,,,,,,,,,,,,,,,,,,,002,16,2022-03-28_17h48.38.557,tareaTDv3,2020.2.5,MacIntel,60,,,right,1,3.8079,0,5,5,4,1,10000,0,150000,5,,
,,,,,,,,,,,,,,,,,,,,,,,002,16,2022-03-28_17h48.38.557,tareaTDv3,2020.2.5,MacIntel,60,,,right,1,0.9279,0,6,6,9,1,10000,0,151000,11,,
,,,,,,,,,,,,,,,,,,,,,,,002,16,2022-03-28_17h48.38.557,tareaTDv3,2020.2.5,MacIntel,60,,,left,1,2.2456,0,7,7,12,1,10000,0,60000,29,,
,,,,,,,,,,,,,,,,,,,,,,,002,16,2022-03-28_17h48.38.557,tareaTDv3,2020.2.5,MacIntel,60,,,left,1,1.6462,0,8,8,75,1,25000,0,35000,60,,
,,,,,,,,,,,,,,,,,,,,,,,002,16,2022-03-28_17h48.38.557,tareaTDv3,2020.2.5,MacIntel,60,,,right,1,3.0898,0,9,9,84,1,25000,0,150000,89,,
,,,,,,,,,,,,,,,,,,,,,,,002,16,2022-03-28_17h48.38.557,tareaTDv3,2020.2.5,MacIntel,60,,,left,1,1.2856,0,10,10,26,1,10000,0,39000,150,,
,,,,,,,,,,,,,,,,,,,,,,,002,16,2022-03-28_17h48.38.557,tareaTDv3,2020.2.5,MacIntel,60,,,right,1,3.729,0,11,11,74,1,25000,0,150000,29,,
,,,,,,,,,,,,,,,,,,,,,,,002,16,2022-03-28_17h48.38.557,tareaTDv3,2020.2.5,MacIntel,60,,,right,1,3.554,0,12,12,48,1,5000,0,105000,60,,
,,,,,,,,,,,,,,,,,,,,,,,002,16,2022-03-28_17h48.38.557,tareaTDv3,2020.2.5,MacIntel,60,,,left,1,2.7449,0,13,13,79,1,25000,0,150000,61,,
,,,,,,,,,,,,,,,,,,,,,,,002,16,2022-03-28_17h48.38.557,tareaTDv3,2020.2.5,MacIntel,60,,,right,1,2.4716,0,14,14,22,1,10000,0,61000,89,,
,,,,,,,,,,,,,,,,,,,,,,,002,16,2022-03-28_17h48.38.557,tareaTDv3,2020.2.5,MacIntel,60,,,right,1,0.7437,0,15,15,89,1,25000,0,150000,150,,
,,,,,,,,,,,,,,,,,,,,,,,002,16,2022-03-28_17h48.38.557,tareaTDv3,2020.2.5,MacIntel,60,,,left,1,2.3601,0,16,16,71,1,25000,0,55000,30,,
,,,,,,,,,,,,,,,,,,,,,,,002,16,2022-03-28_17h48.38.557,tareaTDv3,2020.2.5,MacIntel,60,,,left,1,0.9857,0,17,17,19,1,10000,0,149000,61,,
,,,,,,,,,,,,,,,,,,,,,,,002,16,2022-03-28_17h48.38.557,tareaTDv3,2020.2.5,MacIntel,60,,,right,1,0.9522,0,18,18,63,1,25000,0,125000,4,,
,,,,,,,,,,,,,,,,,,,,,,,002,16,2022-03-28_17h48.38.557,tareaTDv3,2020.2.5,MacIntel,60,,,right,1,0.6232,0,19,19,81,1,25000,0,55000,90,,
,,,,,,,,,,,,,,,,,,,,,,,002,16,2022-03-28_17h48.38.557,tareaTDv3,2020.2.5,MacIntel,60,,,right,1,1.1506,0,20,20,44,1,5000,0,150000,30,,
,,,,,,,,,,,,,,,,,,,,,,,002,16,2022-03-28_17h48.38.557,tareaTDv3,2020.2.5,MacIntel,60,,,right,0,3.3037,0,21,21,45,1,5000,0,15000,61,,
,,,,,,,,,,,,,,,,,,,,,,,002,16,2022-03-28_17h48.38.557,tareaTDv3,2020.2.5,MacIntel,60,,,left,1,0.7766,0,22,22,41,1,5000,0,35000,31,,
,,,,,,,,,,,,,,,,,,,,,,,002,16,2022-03-28_17h48.38.557,tareaTDv3,2020.2.5,MacIntel,60,,,right,1,1.753,0,23,23,32,1,5000,0,54000,5,,
,,,,,,,,,,,,,,,,,,,,,,,002,16,2022-03-28_17h48.38.557,tareaTDv3,2020.2.5,MacIntel,60,,,right,1,0.5534,0,24,24,69,1,25000,0,150000,9,,
,,,,,,,,,,,,,,,,,,,,,,,002,16,2022-03-28_17h48.38.557,tareaTDv3,2020.2.5,MacIntel,60,,,left,1,1.6922,0,25,25,0,1,10000,0,20000,5,,
,,,,,,,,,,,,,,,,,,,,,,,002,16,2022-03-28_17h48.38.557,tareaTDv3,2020.2.5,MacIntel,60,,,right,1,0.495,0,26,26,39,1,5000,0,149000,10,,
