key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,respP.rt,key5.keys,key5.rt,respT.keys,respT.corr,respT.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ss_Amt,ss_Delay,ll_Amt,ll_Delay
space,2.2818,space,0.5521,space,0.6079,space,0.4379,right,1.8679,space,8.397,,0,0,0,0,1,1,25000,35000,150,001,32,2022-03-28_17h34.25.321,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,,
,,,,,,,,,,,,right,1,0,1,1,0,1,10000,109000,9,001,32,2022-03-28_17h34.25.321,tareaTDv3,2020.2.5,Win32,60,4.5134,,,,,,,,,,,,,,
,,,,,,,,,,,,left,0,0,2,2,2,1,10000,19000,89,001,32,2022-03-28_17h34.25.321,tareaTDv3,2020.2.5,Win32,60,5.738,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,001,32,2022-03-28_17h34.25.321,tareaTDv3,2020.2.5,Win32,60,,g,145.7336,right,1,5.5996,0,0,0,2,1,10000,0,61000,4
,,,,,,,,,,,,,,,,,,,,,,001,32,2022-03-28_17h34.25.321,tareaTDv3,2020.2.5,Win32,60,,,,right,1,7.1101,0,1,1,24,1,10000,0,149000,89
,,,,,,,,,,,,,,,,,,,,,,001,32,2022-03-28_17h34.25.321,tareaTDv3,2020.2.5,Win32,60,,,,left,1,12.5568,0,2,2,74,1,25000,0,150000,29
,,,,,,,,,,,,,,,,,,,,,,001,32,2022-03-28_17h34.25.321,tareaTDv3,2020.2.5,Win32,60,,,,left,1,4.7694,0,3,3,62,1,25000,0,75000,5
,,,,,,,,,,,,,,,,,,,,,,001,32,2022-03-28_17h34.25.321,tareaTDv3,2020.2.5,Win32,60,,,,left,0,7.4612,0,4,4,60,1,25000,0,35000,5
,,,,,,,,,,,,,,,,,,,,,,001,32,2022-03-28_17h34.25.321,tareaTDv3,2020.2.5,Win32,60,,,,right,1,2.8392,0,5,5,58,1,5000,0,106000,152
,,,,,,,,,,,,,,,,,,,,,,001,32,2022-03-28_17h34.25.321,tareaTDv3,2020.2.5,Win32,60,,,,left,1,5.7073,0,6,6,83,1,25000,0,125000,89
,,,,,,,,,,,,,,,,,,,,,,001,32,2022-03-28_17h34.25.321,tareaTDv3,2020.2.5,Win32,60,,,,left,0,7.1115,0,7,7,81,1,25000,0,55000,90
,,,,,,,,,,,,,,,,,,,,,,001,32,2022-03-28_17h34.25.321,tareaTDv3,2020.2.5,Win32,60,,,,right,0,2.8829,0,8,8,65,1,25000,0,35000,11
,,,,,,,,,,,,,,,,,,,,,,001,32,2022-03-28_17h34.25.321,tareaTDv3,2020.2.5,Win32,60,,,,left,0,5.1212,0,9,9,80,1,25000,0,35000,90
,,,,,,,,,,,,,,,,,,,,,,001,32,2022-03-28_17h34.25.321,tareaTDv3,2020.2.5,Win32,60,,,,left,1,3.7161,0,10,10,47,1,5000,0,56000,60
,,,,,,,,,,,,,,,,,,,,,,001,32,2022-03-28_17h34.25.321,tareaTDv3,2020.2.5,Win32,60,,,,left,1,3.8,0,11,11,42,1,5000,0,56000,29
,,,,,,,,,,,,,,,,,,,,,,001,32,2022-03-28_17h34.25.321,tareaTDv3,2020.2.5,Win32,60,,,,right,1,13.6554,0,12,12,89,1,25000,0,150000,150
,,,,,,,,,,,,,,,,,,,,,,001,32,2022-03-28_17h34.25.321,tareaTDv3,2020.2.5,Win32,60,,,,right,0,3.3641,0,13,13,5,1,10000,0,19000,11
,,,,,,,,,,,,,,,,,,,,,,001,32,2022-03-28_17h34.25.321,tareaTDv3,2020.2.5,Win32,60,,,,left,1,1.2076,0,14,14,52,1,5000,0,56000,89
,,,,,,,,,,,,,,,,,,,,,,001,32,2022-03-28_17h34.25.321,tareaTDv3,2020.2.5,Win32,60,,,,right,1,2.8338,0,15,15,31,1,5000,0,35000,6
,,,,,,,,,,,,,,,,,,,,,,001,32,2022-03-28_17h34.25.321,tareaTDv3,2020.2.5,Win32,60,,,,left,1,5.8742,0,16,16,39,1,5000,0,149000,10
,,,,,,,,,,,,,,,,,,,,,,001,32,2022-03-28_17h34.25.321,tareaTDv3,2020.2.5,Win32,60,,,,right,0,4.8362,0,17,17,26,1,10000,0,39000,150
,,,,,,,,,,,,,,,,,,,,,,001,32,2022-03-28_17h34.25.321,tareaTDv3,2020.2.5,Win32,60,,,,right,1,3.4044,0,18,18,79,1,25000,0,150000,61
,,,,,,,,,,,,,,,,,,,,,,001,32,2022-03-28_17h34.25.321,tareaTDv3,2020.2.5,Win32,60,,,,right,1,7.3717,0,19,19,1,1,10000,0,39000,6
,,,,,,,,,,,,,,,,,,,,,,001,32,2022-03-28_17h34.25.321,tareaTDv3,2020.2.5,Win32,60,,,,left,1,4.763,0,20,20,28,1,10000,0,109000,149
,,,,,,,,,,,,,,,,,,,,,,001,32,2022-03-28_17h34.25.321,tareaTDv3,2020.2.5,Win32,60,,,,right,0,3.2847,0,21,21,11,1,10000,0,39000,29
,,,,,,,,,,,,,,,,,,,,,,001,32,2022-03-28_17h34.25.321,tareaTDv3,2020.2.5,Win32,60,,,,,0,,0,22,22,17,1,10000,0,60000,60
,,,,,,,,,,,,,,,,,,,,,,001,32,2022-03-28_17h34.25.321,tareaTDv3,2020.2.5,Win32,60,,,,left,1,1.3858,0,23,23,51,1,5000,0,35000,89
,,,,,,,,,,,,,,,,,,,,,,001,32,2022-03-28_17h34.25.321,tareaTDv3,2020.2.5,Win32,60,,,,right,0,2.417,0,24,24,76,1,25000,0,55000,60
,,,,,,,,,,,,,,,,,,,,,,001,32,2022-03-28_17h34.25.321,tareaTDv3,2020.2.5,Win32,60,,,,right,0,1.572,0,25,25,66,1,25000,0,55000,11
,,,,,,,,,,,,,,,,,,,,,,001,32,2022-03-28_17h34.25.321,tareaTDv3,2020.2.5,Win32,60,,,,left,1,0.6333,0,26,26,33,1,5000,0,104000,5
,,,,,,,,,,,,,,,,,,,,,,001,32,2022-03-28_17h34.25.321,tareaTDv3,2020.2.5,Win32,60,,,,left,1,1.4657,0,27,27,34,1,5000,0,151000,4
,,,,,,,,,,,,,,,,,,,,,,001,32,2022-03-28_17h34.25.321,tareaTDv3,2020.2.5,Win32,60,,,,left,0,3.5315,0,28,28,21,1,10000,0,40000,91
,,,,,,,,,,,,,,,,,,,,,,001,32,2022-03-28_17h34.25.321,tareaTDv3,2020.2.5,Win32,60,,,,right,0,1.9487,0,29,29,82,1,25000,0,75000,90
,,,,,,,,,,,,,,,,,,,,,,001,32,2022-03-28_17h34.25.321,tareaTDv3,2020.2.5,Win32,60,,,,right,1,4.1239,0,30,30,78,1,25000,0,125000,59
,,,,,,,,,,,,,,,,,,,,,,001,32,2022-03-28_17h34.25.321,tareaTDv3,2020.2.5,Win32,60,,,,left,1,2.225,0,31,31,8,1,10000,0,111000,10
,,,,,,,,,,,,,,,,,,,,,,001,32,2022-03-28_17h34.25.321,tareaTDv3,2020.2.5,Win32,60,,,,right,1,5.0679,0,32,32,12,1,10000,0,60000,29
,,,,,,,,,,,,,,,,,,,,,,001,32,2022-03-28_17h34.25.321,tareaTDv3,2020.2.5,Win32,60,,,,left,0,4.747,0,33,33,22,1,10000,0,61000,89
,,,,,,,,,,,,,,,,,,,,,,001,32,2022-03-28_17h34.25.321,tareaTDv3,2020.2.5,Win32,60,,,,left,1,3.9974,0,34,34,59,1,5000,0,151000,150
,,,,,,,,,,,,,,,,,,,,,,001,32,2022-03-28_17h34.25.321,tareaTDv3,2020.2.5,Win32,60,,,,left,0,3.664,0,35,35,10,1,10000,0,21000,31
,,,,,,,,,,,,,,,,,,,,,,001,32,2022-03-28_17h34.25.321,tareaTDv3,2020.2.5,Win32,60,,,,right,1,1.9656,0,36,36,19,1,10000,0,149000,61
,,,,,,,,,,,,,,,,,,,,,,001,32,2022-03-28_17h34.25.321,tareaTDv3,2020.2.5,Win32,60,,,,right,0,8.909,0,37,37,0,1,10000,0,20000,5
,,,,,,,,,,,,,,,,,,,,,,001,32,2022-03-28_17h34.25.321,tareaTDv3,2020.2.5,Win32,60,,,,right,1,2.5557,0,38,38,84,1,25000,0,150000,89
,,,,,,,,,,,,,,,,,,,,,,001,32,2022-03-28_17h34.25.321,tareaTDv3,2020.2.5,Win32,60,,,,right,0,4.5667,0,39,39,40,1,5000,0,14000,31
,,,,,,,,,,,,,,,,,,,,,,001,32,2022-03-28_17h34.25.321,tareaTDv3,2020.2.5,Win32,60,,,,right,1,2.2822,0,40,40,18,1,10000,0,110000,60
,,,,,,,,,,,,,,,,,,,,,,001,32,2022-03-28_17h34.25.321,tareaTDv3,2020.2.5,Win32,60,,,,left,0,3.016,0,41,41,45,1,5000,0,15000,61
,,,,,,,,,,,,,,,,,,,,,,001,32,2022-03-28_17h34.25.321,tareaTDv3,2020.2.5,Win32,60,,,,left,0,1.8527,0,42,42,77,1,25000,0,75000,59
,,,,,,,,,,,,,,,,,,,,,,001,32,2022-03-28_17h34.25.321,tareaTDv3,2020.2.5,Win32,60,,,,right,0,3.4986,0,43,43,6,1,10000,0,40000,10
,,,,,,,,,,,,,,,,,,,,,,001,32,2022-03-28_17h34.25.321,tareaTDv3,2020.2.5,Win32,60,,,,right,1,2.4825,0,44,44,69,1,25000,0,150000,9
,,,,,,,,,,,,,,,,,,,,,,001,32,2022-03-28_17h34.25.321,tareaTDv3,2020.2.5,Win32,60,,,,right,1,1.9279,0,45,45,44,1,5000,0,150000,30
,,,,,,,,,,,,,,,,,,,,,,001,32,2022-03-28_17h34.25.321,tareaTDv3,2020.2.5,Win32,60,,,,left,1,5.471,0,46,46,56,1,5000,0,35000,150
,,,,,,,,,,,,,,,,,,,,,,001,32,2022-03-28_17h34.25.321,tareaTDv3,2020.2.5,Win32,60,,,,right,0,2.4933,0,47,47,67,1,25000,0,75000,10
,,,,,,,,,,,,,,,,,,,,,,001,32,2022-03-28_17h34.25.321,tareaTDv3,2020.2.5,Win32,60,,,,right,1,2.0574,0,48,48,43,1,5000,0,106000,29
,,,,,,,,,,,,,,,,,,,,,,001,32,2022-03-28_17h34.25.321,tareaTDv3,2020.2.5,Win32,60,,,,right,1,1.1037,0,49,49,23,1,10000,0,110000,90
,,,,,,,,,,,,,,,,,,,,,,001,32,2022-03-28_17h34.25.321,tareaTDv3,2020.2.5,Win32,60,,,,right,1,2.0509,0,50,50,68,1,25000,0,125000,9
,,,,,,,,,,,,,,,,,,,,,,001,32,2022-03-28_17h34.25.321,tareaTDv3,2020.2.5,Win32,60,,,,left,0,2.9244,0,51,51,71,1,25000,0,55000,30
,,,,,,,,,,,,,,,,,,,,,,001,32,2022-03-28_17h34.25.321,tareaTDv3,2020.2.5,Win32,60,,,,left,1,3.3835,0,52,52,30,1,5000,0,16000,4
,,,,,,,,,,,,,,,,,,,,,,001,32,2022-03-28_17h34.25.321,tareaTDv3,2020.2.5,Win32,60,,,,left,1,1.0498,0,53,53,14,1,10000,0,150000,30
,,,,,,,,,,,,,,,,,,,,,,001,32,2022-03-28_17h34.25.321,tareaTDv3,2020.2.5,Win32,60,,,,left,0,3.0879,0,54,54,27,1,10000,0,61000,150
,,,,,,,,,,,,,,,,,,,,,,001,32,2022-03-28_17h34.25.321,tareaTDv3,2020.2.5,Win32,60,,,,right,1,1.1203,0,55,55,73,1,25000,0,125000,31
,,,,,,,,,,,,,,,,,,,,,,001,32,2022-03-28_17h34.25.321,tareaTDv3,2020.2.5,Win32,60,,,,right,1,2.0987,0,56,56,9,1,10000,0,151000,11
,,,,,,,,,,,,,,,,,,,,,,001,32,2022-03-28_17h34.25.321,tareaTDv3,2020.2.5,Win32,60,,,,left,1,3.4878,0,57,57,88,1,25000,0,125000,149
,,,,,,,,,,,,,,,,,,,,,,001,32,2022-03-28_17h34.25.321,tareaTDv3,2020.2.5,Win32,60,,,,left,1,5.2785,0,58,58,64,1,25000,0,150000,4
,,,,,,,,,,,,,,,,,,,,,,001,32,2022-03-28_17h34.25.321,tareaTDv3,2020.2.5,Win32,60,,,,left,0,2.8215,0,59,59,35,1,5000,0,15000,11
,,,,,,,,,,,,,,,,,,,,,,001,32,2022-03-28_17h34.25.321,tareaTDv3,2020.2.5,Win32,60,,,,left,1,1.969,0,60,60,4,1,10000,0,150000,5
,,,,,,,,,,,,,,,,,,,,,,001,32,2022-03-28_17h34.25.321,tareaTDv3,2020.2.5,Win32,60,,,,right,1,1.8674,0,61,61,53,1,5000,0,104000,90
,,,,,,,,,,,,,,,,,,,,,,001,32,2022-03-28_17h34.25.321,tareaTDv3,2020.2.5,Win32,60,,,,left,1,1.4912,0,62,62,38,1,5000,0,104000,10
,,,,,,,,,,,,,,,,,,,,,,001,32,2022-03-28_17h34.25.321,tareaTDv3,2020.2.5,Win32,60,,,,right,0,1.5168,0,63,63,15,1,10000,0,20000,59
,,,,,,,,,,,,,,,,,,,,,,001,32,2022-03-28_17h34.25.321,tareaTDv3,2020.2.5,Win32,60,,,,right,1,3.9293,0,64,64,46,1,5000,0,36000,61
,,,,,,,,,,,,,,,,,,,,,,001,32,2022-03-28_17h34.25.321,tareaTDv3,2020.2.5,Win32,60,,,,left,1,3.0018,0,65,65,87,1,25000,0,75000,151
,,,,,,,,,,,,,,,,,,,,,,001,32,2022-03-28_17h34.25.321,tareaTDv3,2020.2.5,Win32,60,,,,right,0,2.9228,0,66,66,50,1,5000,0,15000,91
,,,,,,,,,,,,,,,,,,,,,,001,32,2022-03-28_17h34.25.321,tareaTDv3,2020.2.5,Win32,60,,,,right,1,5.4217,0,67,67,7,1,10000,0,59000,9
,,,,,,,,,,,,,,,,,,,,,,001,32,2022-03-28_17h34.25.321,tareaTDv3,2020.2.5,Win32,60,,,,left,1,1.3491,0,68,68,3,1,10000,0,109000,5
,,,,,,,,,,,,,,,,,,,,,,001,32,2022-03-28_17h34.25.321,tareaTDv3,2020.2.5,Win32,60,,,,left,0,1.5063,0,69,69,86,1,25000,0,55000,151
,,,,,,,,,,,,,,,,,,,,,,001,32,2022-03-28_17h34.25.321,tareaTDv3,2020.2.5,Win32,60,,,,right,1,1.7849,0,70,70,36,1,5000,0,36000,9
,,,,,,,,,,,,,,,,,,,,,,001,32,2022-03-28_17h34.25.321,tareaTDv3,2020.2.5,Win32,60,,,,right,1,0.5707,0,71,71,41,1,5000,0,35000,31
,,,,,,,,,,,,,,,,,,,,,,001,32,2022-03-28_17h34.25.321,tareaTDv3,2020.2.5,Win32,60,,,,right,1,0.6352,0,72,72,54,1,5000,0,150000,90
,,,,,,,,,,,,,,,,,,,,,,001,32,2022-03-28_17h34.25.321,tareaTDv3,2020.2.5,Win32,60,,,,right,1,1.7273,0,73,73,57,1,5000,0,55000,151
,,,,,,,,,,,,,,,,,,,,,,001,32,2022-03-28_17h34.25.321,tareaTDv3,2020.2.5,Win32,60,,,,left,0,0.9044,0,74,74,75,1,25000,0,35000,60
,,,,,,,,,,,,,,,,,,,,,,001,32,2022-03-28_17h34.25.321,tareaTDv3,2020.2.5,Win32,60,,,,right,0,2.9858,0,75,75,16,1,10000,0,39000,59
,,,,,,,,,,,,,,,,,,,,,,001,32,2022-03-28_17h34.25.321,tareaTDv3,2020.2.5,Win32,60,,,,right,1,2.598,0,76,76,37,1,5000,0,56000,9
,,,,,,,,,,,,,,,,,,,,,,001,32,2022-03-28_17h34.25.321,tareaTDv3,2020.2.5,Win32,60,,,,right,0,4.4315,0,77,77,61,1,25000,0,55000,6
,,,,,,,,,,,,,,,,,,,,,,001,32,2022-03-28_17h34.25.321,tareaTDv3,2020.2.5,Win32,60,,,,right,0,3.149,0,78,78,20,1,10000,0,20000,90
,,,,,,,,,,,,,,,,,,,,,,001,32,2022-03-28_17h34.25.321,tareaTDv3,2020.2.5,Win32,60,,,,left,0,6.9183,0,79,79,55,1,5000,0,14000,149
,,,,,,,,,,,,,,,,,,,,,,001,32,2022-03-28_17h34.25.321,tareaTDv3,2020.2.5,Win32,60,,,,right,1,2.216,0,80,80,32,1,5000,0,54000,5
,,,,,,,,,,,,,,,,,,,,,,001,32,2022-03-28_17h34.25.321,tareaTDv3,2020.2.5,Win32,60,,,,left,1,0.6501,0,81,81,29,1,10000,0,151000,151
,,,,,,,,,,,,,,,,,,,,,,001,32,2022-03-28_17h34.25.321,tareaTDv3,2020.2.5,Win32,60,,,,right,1,1.7334,0,82,82,49,1,5000,0,149000,59
,,,,,,,,,,,,,,,,,,,,,,001,32,2022-03-28_17h34.25.321,tareaTDv3,2020.2.5,Win32,60,,,,right,0,1.3877,0,83,83,85,1,25000,0,35000,150
,,,,,,,,,,,,,,,,,,,,,,001,32,2022-03-28_17h34.25.321,tareaTDv3,2020.2.5,Win32,60,,,,right,0,3.3478,0,84,84,72,1,25000,0,75000,31
