key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,respP.rt,key5.keys,key5.rt,respT.keys,respT.corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ss_Amt,ss_Delay,ll_Amt,ll_Delay,respT.rt
space,3.074,space,1.287,space,1.169,space,3.176,left,3.847,space,2.153,,0,0,0,0,1,1,25000,35000,150,001,45,2022-03-28_17h34.44.000,tareaTDv3,2020.2.5,MacIntel,60,,,,,,,,,,,,,,,
,,,,,,,,,,,,right,1,0,1,1,2,1,10000,19000,89,001,45,2022-03-28_17h34.44.000,tareaTDv3,2020.2.5,MacIntel,60,8.1,,,,,,,,,,,,,,
,,,,,,,,,,,,right,1,0,2,2,0,1,10000,109000,9,001,45,2022-03-28_17h34.44.000,tareaTDv3,2020.2.5,MacIntel,60,4.348,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,001,45,2022-03-28_17h34.44.000,tareaTDv3,2020.2.5,MacIntel,60,,g,191.863,,0,0,0,0,20,1,10000,0,20000,90,
,,,,,,,,,,,,,,,,,,,,,,001,45,2022-03-28_17h34.44.000,tareaTDv3,2020.2.5,MacIntel,60,,,,left,0,0,1,1,41,1,5000,0,35000,31,4.71
,,,,,,,,,,,,,,,,,,,,,,001,45,2022-03-28_17h34.44.000,tareaTDv3,2020.2.5,MacIntel,60,,,,left,1,0,2,2,4,1,10000,0,150000,5,3.502
,,,,,,,,,,,,,,,,,,,,,,001,45,2022-03-28_17h34.44.000,tareaTDv3,2020.2.5,MacIntel,60,,,,right,1,0,3,3,16,1,10000,0,39000,59,2.311
,,,,,,,,,,,,,,,,,,,,,,001,45,2022-03-28_17h34.44.000,tareaTDv3,2020.2.5,MacIntel,60,,,,left,1,0,4,4,12,1,10000,0,60000,29,5.269
,,,,,,,,,,,,,,,,,,,,,,001,45,2022-03-28_17h34.44.000,tareaTDv3,2020.2.5,MacIntel,60,,,,right,1,0,5,5,76,1,25000,0,55000,60,8.573
,,,,,,,,,,,,,,,,,,,,,,001,45,2022-03-28_17h34.44.000,tareaTDv3,2020.2.5,MacIntel,60,,,,left,1,0,6,6,81,1,25000,0,55000,90,1.74
,,,,,,,,,,,,,,,,,,,,,,001,45,2022-03-28_17h34.44.000,tareaTDv3,2020.2.5,MacIntel,60,,,,right,1,0,7,7,8,1,10000,0,111000,10,1.928
,,,,,,,,,,,,,,,,,,,,,,001,45,2022-03-28_17h34.44.000,tareaTDv3,2020.2.5,MacIntel,60,,,,right,1,0,8,8,87,1,25000,0,75000,151,11.494
,,,,,,,,,,,,,,,,,,,,,,001,45,2022-03-28_17h34.44.000,tareaTDv3,2020.2.5,MacIntel,60,,,,left,1,0,9,9,73,1,25000,0,125000,31,2.019
,,,,,,,,,,,,,,,,,,,,,,001,45,2022-03-28_17h34.44.000,tareaTDv3,2020.2.5,MacIntel,60,,,,right,1,0,10,10,35,1,5000,0,15000,11,1.196
,,,,,,,,,,,,,,,,,,,,,,001,45,2022-03-28_17h34.44.000,tareaTDv3,2020.2.5,MacIntel,60,,,,left,1,0,11,11,64,1,25000,0,150000,4,2.522
,,,,,,,,,,,,,,,,,,,,,,001,45,2022-03-28_17h34.44.000,tareaTDv3,2020.2.5,MacIntel,60,,,,left,0,0,12,12,25,1,10000,0,10000,150,5.146
,,,,,,,,,,,,,,,,,,,,,,001,45,2022-03-28_17h34.44.000,tareaTDv3,2020.2.5,MacIntel,60,,,,right,1,0,13,13,75,1,25000,0,35000,60,1.337
,,,,,,,,,,,,,,,,,,,,,,001,45,2022-03-28_17h34.44.000,tareaTDv3,2020.2.5,MacIntel,60,,,,left,1,0,14,14,61,1,25000,0,55000,6,1.67
,,,,,,,,,,,,,,,,,,,,,,001,45,2022-03-28_17h34.44.000,tareaTDv3,2020.2.5,MacIntel,60,,,,right,1,0,15,15,67,1,25000,0,75000,10,2.013
,,,,,,,,,,,,,,,,,,,,,,001,45,2022-03-28_17h34.44.000,tareaTDv3,2020.2.5,MacIntel,60,,,,left,1,0,16,16,72,1,25000,0,75000,31,1.088
,,,,,,,,,,,,,,,,,,,,,,001,45,2022-03-28_17h34.44.000,tareaTDv3,2020.2.5,MacIntel,60,,,,left,1,0,17,17,30,1,5000,0,16000,4,1.667
,,,,,,,,,,,,,,,,,,,,,,001,45,2022-03-28_17h34.44.000,tareaTDv3,2020.2.5,MacIntel,60,,,,left,1,0,18,18,54,1,5000,0,150000,90,2.557
,,,,,,,,,,,,,,,,,,,,,,001,45,2022-03-28_17h34.44.000,tareaTDv3,2020.2.5,MacIntel,60,,,,right,1,0,19,19,33,1,5000,0,104000,5,1.146
,,,,,,,,,,,,,,,,,,,,,,001,45,2022-03-28_17h34.44.000,tareaTDv3,2020.2.5,MacIntel,60,,,,left,1,0,20,20,28,1,10000,0,109000,149,0.49
,,,,,,,,,,,,,,,,,,,,,,001,45,2022-03-28_17h34.44.000,tareaTDv3,2020.2.5,MacIntel,60,,,,left,1,0,21,21,24,1,10000,0,149000,89,0.793
