key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,key5.keys,key5.rt,respT.keys,respT.corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ss_Amt,ss_Delay,ll_Amt,ll_Delay
space,21.876,space,49.902,space,62.256,space,11.487,left,14.09,space,78.959,left,1,3.288,0,0,0,1,1,25000,35000,150,001,999999999,2022-03-28_17h29.58.340,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,
,,,,,,,,,,,,left,0,2.389,0,1,1,2,1,10000,19000,89,001,999999999,2022-03-28_17h29.58.340,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,
,,,,,,,,,,,,left,0,0.121,0,2,2,0,1,10000,109000,9,001,999999999,2022-03-28_17h29.58.340,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,001,999999999,2022-03-28_17h29.58.340,tareaTDv3,2020.2.5,Win32,60,g,211.795,,0,0,0,0,40,1,5000,0,14000,31
,,,,,,,,,,,,,,,,,,,,,,,001,999999999,2022-03-28_17h29.58.340,tareaTDv3,2020.2.5,Win32,60,,,,0,0,1,1,23,1,10000,0,110000,90
,,,,,,,,,,,,,,,,,,,,,,,001,999999999,2022-03-28_17h29.58.340,tareaTDv3,2020.2.5,Win32,60,,,,0,0,2,2,37,1,5000,0,56000,9
,,,,,,,,,,,,,,,,,,,,,,,001,999999999,2022-03-28_17h29.58.340,tareaTDv3,2020.2.5,Win32,60,,,,0,0,3,3,76,1,25000,0,55000,60
,,,,,,,,,,,,,,,,,,,,,,,001,999999999,2022-03-28_17h29.58.340,tareaTDv3,2020.2.5,Win32,60,,,,0,0,4,4,87,1,25000,0,75000,151
,,,,,,,,,,,,,,,,,,,,,,,001,999999999,2022-03-28_17h29.58.340,tareaTDv3,2020.2.5,Win32,60,,,,0,0,5,5,63,1,25000,0,125000,4
,,,,,,,,,,,,,,,,,,,,,,,001,999999999,2022-03-28_17h29.58.340,tareaTDv3,2020.2.5,Win32,60,,,,0,0,6,6,49,1,5000,0,149000,59
,,,,,,,,,,,,,,,,,,,,,,,001,999999999,2022-03-28_17h29.58.340,tareaTDv3,2020.2.5,Win32,60,,,,0,0,7,7,48,1,5000,0,105000,60
,,,,,,,,,,,,,,,,,,,,,,,001,999999999,2022-03-28_17h29.58.340,tareaTDv3,2020.2.5,Win32,60,,,,0,0,8,8,14,1,10000,0,150000,30
,,,,,,,,,,,,,,,,,,,,,,,001,999999999,2022-03-28_17h29.58.340,tareaTDv3,2020.2.5,Win32,60,,,,0,0,9,9,11,1,10000,0,39000,29
,,,,,,,,,,,,,,,,,,,,,,,001,999999999,2022-03-28_17h29.58.340,tareaTDv3,2020.2.5,Win32,60,,,,0,0,10,10,80,1,25000,0,35000,90
,,,,,,,,,,,,,,,,,,,,,,,001,999999999,2022-03-28_17h29.58.340,tareaTDv3,2020.2.5,Win32,60,,,,0,0,11,11,7,1,10000,0,59000,9
,,,,,,,,,,,,,,,,,,,,,,,001,999999999,2022-03-28_17h29.58.340,tareaTDv3,2020.2.5,Win32,60,,,,0,0,12,12,77,1,25000,0,75000,59
,,,,,,,,,,,,,,,,,,,,,,,001,999999999,2022-03-28_17h29.58.340,tareaTDv3,2020.2.5,Win32,60,,,,0,0,13,13,33,1,5000,0,104000,5
,,,,,,,,,,,,,,,,,,,,,,,001,999999999,2022-03-28_17h29.58.340,tareaTDv3,2020.2.5,Win32,60,,,,0,0,14,14,55,1,5000,0,14000,149
,,,,,,,,,,,,,,,,,,,,,,,001,999999999,2022-03-28_17h29.58.340,tareaTDv3,2020.2.5,Win32,60,,,,0,0,15,15,82,1,25000,0,75000,90
,,,,,,,,,,,,,,,,,,,,,,,001,999999999,2022-03-28_17h29.58.340,tareaTDv3,2020.2.5,Win32,60,,,,0,0,16,16,31,1,5000,0,35000,6
