img_address,L_reward_1 ,L_prob_1,L_reward_2,L_prob_2,R_reward_1,R_prob_1,R_reward_2,R_prob_2
img/GP_0.png,88,0.29,78,0.71,53,0.29,91,0.71
img/GP_1.png,26,0.82,34,0.18,18,0.49,31,0.51
img/GP_2.png,31,0.59,63,0.41,92,0.89,20,0.11
img/GP_3.png,51,0.07,35,0.93,9,0.6,89,0.4
img/GP_4.png,13,0.48,70,0.52,72,0.18,60,0.82
img/GP_5.png,41,0.63,18,0.37,56,0.98,8,0.02
img/GP_6.png,70,0.17,65,0.83,100,0.35,50,0.65
img/GP_7.png,76,0.98,37,0.02,49,0.82,50,0.18
img/GP_8.png,26,0.37,64,0.63,19,0.89,81,0.11
img/GP_9.png,43,0.19,5,0.81,91,0.14,6,0.86
img/GP_10.png,43,0.91,96,0.09,48,0.66,38,0.34
img/GP_11.png,69,0.33,56,0.67,89,0.4,37,0.6
img/GP_12.png,24,0.99,53,0.01,17,0.71,77,0.29
img/GP_13.png,47,0.24,27,0.76,45,0.88,29,0.12
img/GP_14.png,56,0.09,19,0.91,13,0.76,90,0.24
img/GP_15.png,72,0.88,29,0.12,67,0.39,63,0.61
img/GP_16.png,37,0.61,50,0.39,6,0.6,45,0.4
img/GP_17.png,76,0.9,69,0.1,19,0.66,79,0.34
img/GP_18.png,57,0.69,40,0.31,39,0.07,74,0.93
img/GP_19.png,53,0.01,99,0.99,87,0.83,61,0.17
img/GP_20.png,52,0.12,73,0.88,92,0.98,19,0.02
img/GP_21.png,40,0.38,55,0.62,26,0.14,96,0.86
img/GP_22.png,66,0.16,23,0.84,15,0.79,29,0.21
img/GP_23.png,100,0.31,48,0.69,100,0.58,1,0.42
img/GP_24.png,60,0.05,76,0.95,95,0.84,17,0.16
img/GP_25.png,1,0.62,83,0.38,37,0.41,24,0.59
img/GP_26.png,54,0.8,21,0.2,98,0.49,3,0.51
img/GP_27.png,24,0.34,59,0.66,47,0.42,64,0.58
img/GP_28.png,30,0.19,97,0.81,85,0.14,82,0.86
img/GP_29.png,62,0.74,0,0.26,23,0.44,31,0.56
img/GP_30.png,31,0.99,68,0.01,32,0.04,47,0.96
img/GP_31.png,37,0.76,5,0.24,12,0.18,28,0.82
img/GP_32.png,65,0.74,6,0.26,93,0.64,35,0.36
img/GP_33.png,82,0.08,72,0.92,47,0.27,77,0.73
img/GP_34.png,79,0.88,82,0.12,57,0.2,94,0.8
img/GP_35.png,63,0.56,21,0.44,36,1,0,0
img/GP_36.png,86,0.93,27,0.07,87,0.8,18,0.2
img/GP_37.png,68,0.61,39,0.39,77,0.6,48,0.4
img/GP_38.png,41,0.68,65,0.32,100,0.85,2,0.15
img/GP_39.png,0,0,46,1,52,0.36,36,0.64
img/GP_40.png,80,0.91,19,0.09,37,0.64,65,0.36
img/GP_41.png,75,0.73,34,0.27,56,0.9,82,0.1
img/GP_42.png,77,0.87,72,0.13,67,0.26,100,0.74
img/GP_43.png,63,0.92,5,0.08,43,0.63,53,0.37
img/GP_44.png,56,0.05,72,0.95,68,0.95,95,0.05
img/GP_45.png,84,0.25,43,0.75,7,0.43,97,0.57
img/GP_46.png,32,0.78,99,0.22,39,0.32,56,0.68
img/GP_47.png,83,0.09,67,0.91,77,0.48,6,0.52
img/GP_48.png,54,0.08,31,0.92,44,0.15,29,0.85
img/GP_49.png,39,0.04,28,0.96,53,0.39,20,0.61
img/GP_50.png,14,0.44,72,0.56,9,0.21,31,0.79
img/GP_51.png,39,0.31,51,0.69,16,0.84,91,0.16
img/GP_52.png,45,0.1,14,0.9,25,0.14,27,0.86
img/GP_53.png,44,0.51,38,0.49,20,0.38,86,0.62
img/GP_54.png,85,0.33,60,0.67,98,0.24,26,0.76
img/GP_55.png,30,0.68,67,0.32,7,0.59,59,0.41
img/GP_56.png,15,0.49,50,0.51,64,0.94,14,0.06
img/GP_57.png,68,0.52,90,0.48,1,0.19,87,0.81
img/GP_58.png,65,0.63,74,0.37,7,0.47,85,0.53
img/GP_59.png,7,0.28,74,0.72,55,0.71,63,0.29
